Title,id,price,author,publisher,pub_year,s_tile
Learning Go,211190367,71.99,Jon Bodner,O'Reilly Media,2024,
Tidy First?,211127822,42.99,Kent Beck,O'Reilly Media,2023,
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",210681725,96.99,Aurélien Géron,O'Reilly Media,2022,
Designing Data-Intensive Applications,95729334,67.99,Martin Kleppmann,O'Reilly Media,2017,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems"
Exam Ref MS-102 Microsoft 365 Administrator,210964419,53.86273095,Orin Thomas,Pearson Education,2023,
"CompTIA Network+ Certification All-in-One Exam Guide, Eighth Edition (Exam N10-008)",210456114,80.8143,Mike Meyers,McGraw Hill LLC,2022,
Exam Ref MD-102 Microsoft Endpoint Administrator,210901632,53.86273095,Andrew Warren,Pearson Education,2023,
The Staff Engineer's Path,210670147,42.99,Tanya Reilly,O'Reilly Media,2022,
Learning Web Design,96260103,67.99,Jennifer Robbins,O'Reilly Media,2018,"A Beginner's Guide to HTML, CSS, JavaScript, and Web Graphics"
Fundamentals of Data Engineering,210595152,84.99,Joe Reis,O'Reilly Media,2022,
Deciphering Data Architectures,211219932,84.99,James Serra,O'Reilly Media,2024,
Fluent Python,210531368,84.99,Luciano Ramalho,O'Reilly Media,2022,
C# 12 in a Nutshell,211152388,74.99,Joseph Albahari,O'Reilly Media,2023,
Generative Deep Learning,210833591,84.99,David Foster,O'Reilly Media,2022,
Learning Domain-Driven Design,210393921,71.99,Vlad Khononov,O'Reilly Media,2021,
Python for Data Analysis,210644288,84.99,Wes McKinney,O'Reilly Media,2022,
C++ Software Design,210671407,84.99,Klaus Iglberger,O'Reilly Media,2022,
Building Event-Driven Microservices,210078002,71.99,Adam Bellemare,O'Reilly Media,2020,
Cloud FinOps,210748053,84.99,J. R. Storment,O'Reilly Media,2023,
Communication Patterns,211115555,71.99,Jacqui Read,O'Reilly Media,2023,
Communication Patterns,211115555,71.99,Jacqui Read,O'Reilly Media,2023,
Laws of UX,211206109,58.99,Jon Yablonski,O'Reilly Media,2024,
Database Internals,209784911,71.99,Alex Petrov,O'Reilly Media,2019,A Deep Dive into How Distributed Data Systems Work
Programming Rust,210313783,84.99,Jim Blandy,O'Reilly Media,2021,
Effective TypeScript,209820951,49.99,Dan Vanderkam,O'Reilly Media,2019,62 Specific Ways to Improve Your TypeScript
JavaScript: The Definitive Guide,210022717,84.99,David Flanagan,O'Reilly Media,2020,Master the World's Most-Used Programming Language
Learning TypeScript,210579128,59.99,Josh Goldberg,O'Reilly Media,2022,
Kafka: The Definitive Guide,210411023,84.99,Gwen Shapira,O'Reilly Media,2021,
Data Management at Scale,210820774,74.99,Piethein Strengholt,O'Reilly Media,2023,
Python Data Science Handbook,210721252,84.99,Jake VanderPlas,O'Reilly Media,2022,
A Functional Approach to Java,210840223,79.99,Ben Weidig,O'Reilly Media,2023,
Learning Java,211015340,84.99,Marc Loy,O'Reilly Media,2023,
Software Architecture: The Hard Parts,210380834,84.99,Neal Ford,O'Reilly Media,2021,
