Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
A Practical Guide to Quantum Machine Learning and Quantum Optimization,211222606,53.99,Alberto Di Meglio,Packt Publishing,2023,Hands-on Approach to Modern Quantum Algorithms,,,True,2023-03-31T00:00:00,Mar 2023,3,97,150,comp_eng
Modeling and Simulation in Python,210341989,43.99,Allen B. Downey,No Starch Press,2023,An Introduction for Scientists and Engineers,,"Modeling and Simulation in Python teaches readers how to analyze real-world scenarios using the Python programming language, requiring no more than a background in high school math.Modeling and Simulation in Python is a thorough but easy-to-follow introduction to physical modeling&mdash;that is, the art of describing and simulating...",True,2023-05-30T00:00:00,May 2023,1,97,150,comp_eng
Arduino Cookbook,210002436,59.99,Michael Margolis,O'Reilly Media,2020,"Recipes to Begin, Expand, and Enhance Your Projects", (3rd ed.),"Want to create devices that interact with the physical world? This cookbook is perfect for anyone who wants to experiment with the popular Arduino microcontroller and programming environment. You’ll find more than 200 tips and techniques for building a variety of objects and prototypes such as IoT solutions, environmental monitors, location and...",True,2020-04-17T00:00:00,Apr 2020,3,97,150,comp_eng
97 Things Every Software Architect Should Know,443419,31.99,Richard Monson-Haefel,O'Reilly Media,2009,Collective Wisdom from the Experts,,"In this truly unique technical book, today's leading software architects present valuable principles on key development issues that go way beyond technology. More than four dozen architects -- including Neal Ford, Michael Nygard, and Bill de hOra -- offer advice for communicating with stakeholders, eliminating complexity, empowering developers,...",True,2009-02-05T00:00:00,Feb 2009,1,97,150,comp_eng
Measuring Computer Performance,221601,92.6982925,David J. Lilja,Cambridge University Press,2005,A Practitioner's Guide,,Sets out the fundamental techniques used in analyzing and understanding the performance of computer systems.,True,2005-09-08T00:00:00,Sep 2005,1,97,150,comp_eng
Parallel Computer Organization and Design,988939,128.98812165,Michel Dubois,Cambridge University Press,2012,,,"A design-oriented text for advanced computer architecture courses, covering parallelism, complexity, power, reliability and performance.",True,2012-08-30T00:00:00,Aug 2012,3,97,150,comp_eng
Causal Inference and Discovery in Python,211048007,55.99,Aleksander Molak,Packt Publishing,2023,"Unlock the secrets of modern causal machine learning with DoWhy, EconML, PyTorch and more",,,True,2023-05-31T00:00:00,May 2023,2,97,150,comp_eng
Information: A Very Short Introduction,737413,10.87602795,Luciano Floridi,OUP Oxford,2010,,,"Luciano Floridi unpacks this fundamental concept - what information is, how it is measured, its value and meaning - cutting across the sciences and humanities, from DNA to the Internet, and the ethical issues related to privacy, copyright, and accessibility.",True,2010-02-25T00:00:00,Feb 2010,1,97,150,comp_eng
Arduino: A Technical Reference,2584668,49.99,J. M. Hughes,O'Reilly Media,2016,"A Handbook for Technicians, Engineers, and Makers",,"Rather than yet another project-based workbook, Arduino: A Technical Reference is a reference and handbook that thoroughly describes the electrical and performance aspects of an Arduino board and its software. This book brings together in one place all the information you need to get something done with Arduino. It will save you from endless web...",True,2016-05-16T00:00:00,May 2016,1,97,150,comp_eng
Liengme's Guide to Excel 2016 for Scientists and Engineers,209762246,63.96302295,Bernard Liengme,Elsevier Science,2019,(Windows and Mac),,"Liengme’s Guide to Excel 2016 for Scientists and Engineers is a completely updated guide for students, scientists, and engineers who want to use Microsoft Excel 2016 to its full potential, whether you’re using a PC or a Mac. Electronic spreadsheet analysis has become part of the everyday work of researchers in all areas of engineering...",True,2019-08-14T00:00:00,Aug 2019,2,97,150,comp_eng
