Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
XQuery,2467932,49.99,Priscilla Walmsley,O'Reilly Media,2015,Search Across a Variety of XML Data, (2nd ed.),"The W3C XQuery 3.1 standard provides a tool to search, extract, and manipulate content, whether it's in XML, JSON or plain text. With this fully updated, in-depth tutorial, you’ll learn to program with this highly practical query language. Designed for query writers who have some knowledge of XML basics, but not necessarily advanced knowledge of...",True,2015-12-02T00:00:00,Dec 2015,1,97,150,DB
Beginning Database Design,1156003,72.82282448,Clare Churcher,Apress,2012,From Novice to Professional, (2nd ed.),"Beginning Database Design, Second Edition provides short, easy-to-read explanations of how to get database design right the first time. This book offers numerous examples to help you avoid the many pitfalls that entrap new and not-so-new database designers. Through the help of use cases and class diagrams modeled in the UML,...",True,2012-08-08T00:00:00,Aug 2012,1,97,150,DB
Large-Scale Data Analytics with Python and Spark,211130374,45.92335505,Isaac Triguero,Cambridge University Press,2023,A Hands-on Guide to Implementing Machine Learning Solutions,,A hands-on textbook for courses on large-scale data analytics and designing machine learning solutions.,True,2023-11-23T00:00:00,Nov 2023,2,97,150,DB
Database Design for Mere Mortals,210125231,59.87940795,Michael J Hernandez,Pearson Education,2020,25th Anniversary Edition, (4th ed.),"Michael J. Hernandez's best-selling Database Design for Mere Mortals has earned worldwide respect as the simplest way to learn relational database design. Now, he has made this hands-on, software independent tutorial even clearer and easier to use. Step by step, this new 25th Anniversary Edition shows you how to design modern databases that are...",True,2020-12-02T00:00:00,Dec 2020,2,97,150,DB
Principles of Database Management,96297839,85.4421008,Wilfried Lemahieu,Cambridge University Press,2018,"The Practical Guide to Storing, Managing and Analyzing Big and Small Data",,"Introductory, theory-practice balanced text teaching the fundamentals of databases to advanced undergraduates or graduate students in information systems or computer science.",True,2018-07-12T00:00:00,Jul 2018,3,97,150,DB
Seven Databases in Seven Weeks,96182141,54.99,Luc Perkins,Pragmatic Bookshelf,2018,A Guide to Modern Databases and the NoSQL Movement, (2nd ed.),"Data is getting bigger and more complex by the day, and so are your choices in handling it. Explore some of the most cutting-edge databases available - from a traditional relational database to newer NoSQL approaches - and make informed decisions about challenging data storage problems. This is the only comprehensive guide to the world of NoSQL...",True,2018-05-09T00:00:00,Apr 2018,3,97,150,DB
"101 Excel 2013 Tips, Tricks and Timesavers",211222183,126.99,John Walkenbach,Packt Publishing,2013,Unlock new levels of Excel functionality,,,True,2013-07-01T00:00:00,Jul 2013,1,97,150,DB
Snowflake: The Definitive Guide,210643545,84.99,Joyce Kay Avila,O'Reilly Media,2022,,,"Snowflake's ability to eliminate data silos and run workloads from a single platform creates opportunities to democratize data analytics, allowing users at all levels within an organization to make data-driven decisions. Whether you're an IT professional working in data warehousing or data science, a business analyst or technical manager, or an...",True,2022-08-11T00:00:00,Aug 2022,1,97,150,DB
PostgreSQL: Up and Running,95886902,48.99,Regina O. Obe,O'Reilly Media,2017,A Practical Guide to the Advanced Open Source Database, (3rd ed.),"Thinking of migrating to PostgreSQL? This clear, fast-paced introduction helps you understand and use this open source database system. Not only will you learn about the enterprise class features in versions 9.5 to 10, youâ??ll also discover that PostgeSQL is more than a database systemâ??itâ??s an impressive application platform as well. With...",True,2017-10-10T00:00:00,Oct 2017,2,97,150,DB
Exam Ref 70-762 Developing SQL Databases,95824143,43.54494795,Louis Davidson,Pearson Education,2017,,,"Prepare for Microsoft Exam 70-762, Developing SQL Databases –and help demonstrate your real-world mastery of skills for building and implementing databases across organisations. Designed for database professionals who build and implement databases across organisations and who ensure high levels of data availability, Exam Ref focuses on the...",True,2017-01-17T00:00:00,Jan 2017,2,97,150,DB
Star Schema The Complete Reference,565226,47.7782955,Christopher Adamson,McGraw Hill LLC,2010,,,"The definitive guide to dimensional design for your data warehouse Learn the best practices of dimensional design. Star Schema: The Complete Reference offers in-depth coverage of design principles and their underlying rationales. Organized around design concepts and illustrated with detailed examples, this is a step-by-step guidebook for...",True,2010-07-22T00:00:00,Jul 2010,1,97,150,DB
Practical Guide to Clinical Data Management,1447027,71.99303072,Susanne Prokscha,CRC Press,2011,, (3rd ed.),"Clinical data management (CDM) has gone from predominantly relying on the collection of data on paper forms to using electronic data capture (EDC). Today, the assumption is that a trial will be conducted using EDC and that extenuating circumstances might lead to it being conducted using paper. This third edition emphasizes the EDC process. The...",True,2011-10-26T00:00:00,Oct 2011,1,97,150,DB
T-SQL Fundamentals,95824215,54.43458795,Itzik Ben-Gan,Pearson Education,2016,, (3rd ed.),"Effectively query and modify data using Transact-SQLMaster T-SQL fundamentals and write robust code for Microsoft SQL Server and Azure SQL Database. Itzik Ben-Gan explains key T-SQL concepts and helps you apply your knowledge with hands-on exercises. The book first introduces T-SQL’s roots and underlying logic. Next, it walks you...",True,2016-07-29T00:00:00,Jul 2016,1,97,150,DB
"Definitive Guide to DAX, The",209724910,59.87940795,Marco Russo,Pearson Education,2019,"Business intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel", (2nd ed.),"Now expanded and updated with modern best practices, this is the most complete guide to Microsoft’s DAX language for business intelligence, data modeling, and analytics. Expert Microsoft BI consultants Marco Russo and Alberto Ferrari help you master everything from table functions through advanced code and model optimization. You’ll...",True,2019-07-02T00:00:00,Jul 2019,2,97,150,DB
Database Reliability Engineering,95896236,56.99,Laine Campbell,O'Reilly Media,2017,Designing and Operating Resilient Database Systems,,"The infrastructure-as-code revolution in IT is also affecting database administration. With this practical book, developers, system administrators, and junior to mid-level DBAs will learn how the modern practice of site reliability engineering applies to the craft of database architecture and operations. Authors Laine Campbell and Charity Majors...",True,2017-10-26T00:00:00,Oct 2017,2,97,150,DB
