Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Learning Go,211190367,71.99,Jon Bodner,O'Reilly Media,2024,, (2nd ed.),"Go has rapidly become the preferred language for building web services. Plenty of tutorials are available to teach Go's syntax to developers with experience in other programming languages, but tutorials aren't enough. They don't teach Go's idioms, so developers end up recreating patterns that don't make sense in a Go context. This practical...",True,2024-01-10T00:00:00,Jan 2024,1,97,150,Program_lang
Fluent React,211230429,71.99,Tejas Kumar,O'Reilly Media,2024,,,"When it comes to building user interfaces on the web, React enables web developers to unlock a new world of possibilities. This practical book helps you take a deep dive into fundamental concepts of this JavaScript library, including JSX syntax and advanced patterns, the virtual DOM, React reconciliation, and advanced optimization techniques. By...",True,2024-02-13T00:00:00,Feb 2024,1,97,150,Program_lang
Fluent Python,210531368,84.99,Luciano Ramalho,O'Reilly Media,2022,, (2nd ed.),"Don't waste time bending Python to fit patterns you've learned in other languages. Python's simplicity lets you become productive quickly, but often this means you aren't using everything the language has to offer. With the updated edition of this hands-on guide, you'll learn how to write effective, modern Python 3 code by leveraging its best...",True,2022-03-31T00:00:00,Mar 2022,1,97,150,Program_lang
C# 12 in a Nutshell,211152388,74.99,Joseph Albahari,O'Reilly Media,2023,,,"When you have questions about C# 12 or .NET 8, this best-selling guide has the answers you need. C# is a language of unusual flexibility and breadth, and with its continual growth, there's always so much more to learn. In the tradition of O'Reilly's Nutshell guides, this thoroughly updated edition is simply the best one-volume reference to the...",True,2023-11-13T00:00:00,Nov 2023,1,97,150,Program_lang
Command-Line Rust,210463173,71.99,Ken Youens-Clark,O'Reilly Media,2022,,,"For several consecutive years, Rust has been voted ""most loved programming language"" in Stack Overflow's annual developer survey. This open source systems programming language is now used for everything from game engines and operating systems to browser components and virtual reality simulation engines. But Rust is also an incredibly complex...",True,2022-01-13T00:00:00,Jan 2022,1,97,150,Program_lang
Architecture Patterns with Python,209971850,71.99,Harry Percival,O'Reilly Media,2020,"Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices",,"As Python continues to grow in popularity, projects are becoming larger and more complex. Many Python developers are taking an interest in high-level software design patterns such as hexagonal/clean architecture, event-driven architecture, and the strategic patterns prescribed by domain-driven design (DDD). But translating those patterns into...",True,2020-03-05T00:00:00,Mar 2020,2,97,150,Program_lang
Programming Rust,210313783,84.99,Jim Blandy,O'Reilly Media,2021,, (2nd ed.),"Systems programming provides the foundation for the world's computation. Writing performance-sensitive code requires a programming language that puts programmers in control of how memory, processor time, and other system resources are used. The Rust systems programming language combines that control with a modern type system that catches broad...",True,2021-06-11T00:00:00,Jun 2021,3,97,150,Program_lang
Python Data Science Handbook,210721252,84.99,Jake VanderPlas,O'Reilly Media,2022,, (2nd ed.),"Python is a first-class tool for many researchers, primarily because of its libraries for storing, manipulating, and gaining insight from data. Several resources exist for individual pieces of this data science stack, but only with the new edition of Python Data Science Handbook do you get them all--IPython, NumPy, pandas, Matplotlib,...",True,2022-12-06T00:00:00,Dec 2022,1,97,150,Program_lang
Head First Python,211026380,71.99,Paul Barry,O'Reilly Media,2023,, (3rd ed.),"What will you learn from this book? Want to learn the Python language without slogging your way through how-to manuals? With Head First Python , you'll quickly grasp Python's fundamentals by working with built-in data structures and functions. You'll build your very own web app, which—once it's ready for prime time—runs in the cloud. You'll...",True,2023-08-24T00:00:00,Aug 2023,1,97,150,Program_lang
JavaScript: The Definitive Guide,210022717,84.99,David Flanagan,O'Reilly Media,2020,Master the World's Most-Used Programming Language, (7th ed.),"For web developers and other programmers interested in using JavaScript, this bestselling book provides the most comprehensive JavaScript material on the market. The seventh edition represents a significant update, with new information for ECMAScript 2020, and new chapters on language-specific features. JavaScript: The Definitive Guide is ideal...",True,2020-05-15T00:00:00,May 2020,1,97,150,Program_lang
Head First C#,210180129,74.99,Andrew Stellman,O'Reilly Media,2020,, (4th ed.),"What will you learn from this book? Dive into C# and create apps, user interfaces, games, and more using this fun and highly visual introduction to C#, .NET Core, and Visual Studio. With this completely updated guide, which covers C# 8.0 and Visual Studio 2019, beginning programmers like you will build a fully functional game in the opening...",True,2020-12-04T00:00:00,Dec 2020,2,97,150,Program_lang
Concurrency in Go,95820962,56.99,Katherine Cox-Buday,O'Reilly Media,2017,Tools and Techniques for Developers,,"Concurrency can be notoriously difficult to get right, but fortunately, the Go open source programming language makes working with concurrency tractable and even easy. If you’re a developer familiar with Go, this practical book demonstrates best practices and patterns to help you incorporate concurrency into your systems. Author Katherine...",True,2017-07-19T00:00:00,Jul 2017,1,97,150,Program_lang
Learning SQL,209971182,71.99,Alan Beaulieu,O'Reilly Media,2020,"Generate, Manipulate, and Retrieve Data", (3rd ed.),"As data floods into your company, you need to put it to work right away—and SQL is the best tool for the job. With the latest edition of this introductory guide, author Alan Beaulieu helps developers get up to speed with SQL fundamentals for writing database applications, performing administrative tasks, and generating reports. You’ll find new...",True,2020-03-04T00:00:00,Mar 2020,1,97,150,Program_lang
Learning Python,1224732,84.99,Mark Lutz,O'Reilly Media,2013,Powerful Object-Oriented Programming, (5th ed.),"Get a comprehensive, in-depth introduction to the core Python language with this hands-on book. Based on author Mark Lutz’s popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It’s an ideal way to begin, whether you’re new to programming or a professional developer versed in...",True,2013-06-13T00:00:00,Jun 2013,1,97,150,Program_lang
CSS: The Definitive Guide,210856972,96.99,Eric Meyer,O'Reilly Media,2023,, (5th ed.),"If you're a web designer or app developer interested in sophisticated page styling, improved accessibility, and less time and effort expended, this book is for you. This revised fifth edition provides a comprehensive guide to CSS implementation along with a thorough review of the latest CSS specifications. Authors Eric Meyer and Estelle Weyl...",True,2023-05-30T00:00:00,May 2023,2,97,150,Program_lang
"Tour of C++, A",210640423,43.54494795,Bjarne Stroustrup,Pearson Education,2022,, (3rd ed.),"In A Tour of C++, Third Edition, Bjarne Stroustrup provides an overview of ISO C++, C++20, that aims to give experienced programmers a clear understanding of what constitutes modern C++. Featuring carefully crafted examples and practical help in getting started, this revised and updated edition concisely covers most major language...",True,2022-08-31T00:00:00,Aug 2022,1,97,150,Program_lang
C# 12 and .NET 8 – Modern Cross-Platform Development Fundamentals,211162852,50.99,Mark J. Price,Packt Publishing,2023,"Start building websites and services with ASP.NET Core 8, Blazor, and EF Core 8",,,True,2023-11-14T00:00:00,Nov 2023,1,97,150,Program_lang
Web API Cookbook,211265452,63.99,Joe Attardi,O'Reilly Media,2024,,,"JavaScript gives web developers great power to create rich interactive browser experiences, and much of that power is provided by the browser itself. Modern web APIs enable web-based applications to come to life like never before, supporting actions that once required browser plug-ins. Some are still in an experimental stage, but many are ready...",True,2024-03-21T00:00:00,Mar 2024,1,97,150,Program_lang
Effective TypeScript,209820951,49.99,Dan Vanderkam,O'Reilly Media,2019,62 Specific Ways to Improve Your TypeScript,,"TypeScript is a typed superset of JavaScript with the potential to solve many of the headaches for which JavaScript is famous. But TypeScript has a learning curve of its own, and understanding how to use it effectively can take time. This book guides you through 62 specific ways to improve your use of TypeScript. Author Dan Vanderkam, a...",True,2019-10-17T00:00:00,Oct 2019,1,97,150,Program_lang
Learning TypeScript,210579128,59.99,Josh Goldberg,O'Reilly Media,2022,,,"TypeScript has conquered the world of JavaScript. Identified in developer surveys as one of the world's fastest growing and most popular languages, TypeScript is widely used in consumer and business companies across the world and is frequently credited for helping massive web applications scale. But what exactly is TypeScript? How and why does...",True,2022-06-03T00:00:00,Jun 2022,1,97,150,Program_lang
Programming in Haskell,2654657,52.38118825,Graham Hutton,Cambridge University Press,2016,, (2nd ed.),This extensively updated and expanded version of the best-selling first edition now covers recent and more advanced features of Haskell.,True,2016-09-01T00:00:00,Sep 2016,1,97,150,Program_lang
Concurrency in C# Cookbook,209766469,59.99,Stephen Cleary,O'Reilly Media,2019,"Asynchronous, Parallel, and Multithreaded Programming", (2nd ed.),"If you’re one of many developers still uncertain about concurrent and multithreaded development, this practical cookbook will change your mind. With more than 85 code-rich recipes in this updated second edition, author Stephen Cleary demonstrates parallel processing and asynchronous programming techniques using libraries and language features in...",True,2019-08-20T00:00:00,Aug 2019,1,97,150,Program_lang
Programming TypeScript,209670238,56.99,Boris Cherny,O'Reilly Media,2019,Making Your JavaScript Applications Scale,,"Any programmer working with a dynamically typed language will tell you how hard it is to scale to more lines of code and more engineers. That’s why Facebook, Google, and Microsoft invented gradual static type layers for their dynamically typed JavaScript and Python code. This practical book shows you how one such type layer, TypeScript, is...",True,2019-04-25T00:00:00,Apr 2019,1,97,150,Program_lang
