Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Laws of UX,211206109,58.99,Jon Yablonski,O'Reilly Media,2024,, (2nd ed.),"An understanding of psychology-specifically the psychology behind how users behave and interact with digital interfaces-is perhaps the single most valuable nondesign skill a designer can have. The most elegant design can fail if it forces users to conform to the design instead of working within the ""blueprint"" of how humans perceive and process...",True,2024-01-23T00:00:00,Jan 2024,1,97,150,UI_UX
User-Centered Design,1162006,27.99,Travis Lowdermilk,O'Reilly Media,2013,A Developer's Guide to Building User-Friendly Applications,,"How do you design engaging applications that people love to use? This book demonstrates several ways to include valuable input from potential clients and customers throughout the process. With practical guidelines and insights from his own experience, author Travis Lowdermilk shows you how usability and user-centered design will dramatically...",True,2013-03-29T00:00:00,Mar 2013,1,97,150,UI_UX
Design Leadership,2468769,44.99,Richard Banfield,O'Reilly Media,2015,How Top Design Leaders Build and Grow Successful Organizations,,"What does it take to be the leader of a design firm or group? We often assume they have all the answers, but in this rapidly evolving industry they’re forced to find their way like the rest of us. So how do good design leaders manage? If you lead a design group, or want to understand the people who do, this insightful book explores...",True,2015-12-04T00:00:00,Dec 2015,1,97,150,UI_UX
Get Into UX,210408466,6.99,Vy Alechnavicius,Vytautas Alechnavicius,2021,A foolproof guide to getting your first user experience job,,"Get Into UX book is a career advice book written to help new and experienced designers get unstuck in their pursuits to get UX jobs. The UX field has been booming for years, and as a result, a landslide of new talent has been flooding the market. All of the newcomers want to learn user experience design or research as fast as possible and get...",True,2021-11-01T00:00:00,Nov 2021,1,97,150,UI_UX
UX Strategy,210244612,53.99,Jaime Levy,O'Reilly Media,2021,, (2nd ed.),"User experience (UX) strategy lies at the intersection of UX design and business strategy, but until now, there hasn't been an easy-to-apply framework for executing it. This hands-on guide introduces lightweight product strategy tools and techniques to help you and your team devise innovative digital solutions that people want. Author Jaime Levy...",True,2021-03-12T00:00:00,Mar 2021,1,97,150,UI_UX
Mapping Experiences,210172260,59.99,James Kalbach,O'Reilly Media,2020,, (2nd ed.),Customers who have inconsistent experiences with products and services are understandably frustrated. But it's worse for organizations that can't pinpoint the causes of these problems because they're too focused on processes. This updated book shows your team how to use alignment diagrams to turn valuable customer observations into actionable...,True,2020-11-23T00:00:00,Nov 2020,1,97,150,UI_UX
Interaction Design,209657771,84.0,Helen Sharp,Wiley,2019,Beyond Human-Computer Interaction, (5th ed.),"A new edition of the #1 text in the human computer Interaction field! Hugely popular with students and professionals alike, the Fifth Edition of Interaction Design is an ideal...",True,2019-04-03T00:00:00,Apr 2019,3,97,150,UI_UX
UX for Beginners,2504566,42.99,Joel Marsh,O'Reilly Media,2015,A Crash Course in 100 Short Lessons,,"Apps! Websites! Rubber Ducks! Naked Ninjas! This book has everything. If you want to get started in user experience design (UX), you've come to the right place: 100 self-contained lessons that cover the whole spectrum of fundamentals. Forget dry, technical material. This bookÃ¢??based on the wildly popular UX Crash Course from Joel MarshÃ¢??s...",True,2015-12-21T00:00:00,Dec 2015,1,97,150,UI_UX
About Face,1762072,72.0,Alan Cooper,Wiley,2014,The Essentials of Interaction Design, (4th ed.),"The essential interaction design guide, fully revised and updated for the mobile age About Face: The Essentials of Interaction Design, Fourth Edition is the latest update to the book that shaped and evolved the landscape of interaction design....",True,2014-08-05T00:00:00,Aug 2014,4,97,150,UI_UX
Designing with Data,95751187,56.99,Rochelle King,O'Reilly Media,2017,Improving the User Experience with A/B Testing,,"On the surface, design practices and data science may not seem like obvious partners. But these disciplines actually work toward the same goal, helping designers and product managers understand users so they can craft elegant digital experiences. While data can enhance design, design can bring deeper meaning to data. This practical guide shows...",True,2017-03-29T00:00:00,Mar 2017,3,97,150,UI_UX
