Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Software Engineering at Google,209970024,71.99,Titus Winters,O'Reilly Media,2020,Lessons Learned from Programming Over Time,,"Today, software engineers need to know not only how to program effectively but also how to develop proper engineering practices to make their codebase sustainable and healthy. This book emphasizes this difference between programming and software engineering. How can software engineers manage a living codebase that evolves and responds to...",True,2020-02-28T00:00:00,Feb 2020,3,97,150,arch
The Software Architect Elevator,209997033,71.99,Gregor Hohpe,O'Reilly Media,2020,Redefining the Architect's Role in the Digital Enterprise,,"As the digital economy changes the rules of the game for enterprises, the role of software and IT architects is also transforming. Rather than focus on technical decisions alone, architects and senior technologists need to combine organizational and technical knowledge to effect change in their company’s structure and processes. To accomplish...",True,2020-04-08T00:00:00,Apr 2020,1,97,150,arch
Software Architecture Metrics,210567692,71.99,Christian Ciceri,O'Reilly Media,2022,,,"Software architecture metrics are key to the maintainability and architectural quality of a software project and they can warn you about dangerous accumulations of architectural and technical debt early in the process. In this practical book, leading hands-on software architects share case studies to introduce metrics that every software...",True,2022-05-18T00:00:00,May 2022,10,97,150,arch
Designing Hexagonal Architecture with Java,211106723,46.99,Davi Vieira,Packt Publishing,2023,Build maintainable and long-lasting applications with Java and Quarkus,,,True,2023-09-29T00:00:00,Sep 2023,1,97,150,arch
OpenStack for Architects,96237030,44.99,Michael Solberg,Packt Publishing,2018,Design production-ready private cloud infrastructure,,,True,2018-05-31T00:00:00,May 2018,2,97,150,arch
Quantum Computing Fundamentals,210125232,76.21386795,William (Chuck) Easttom II,Pearson Education,2021,,,"ONE-VOLUME INTRODUCTION TO QUANTUM COMPUTING Clearly explains core concepts, terminology, and techniques Covers the foundational physics, math, and information theory you need Provides hands-on practice with quantum programming The perfect beginner's guide for anyone interested in a quantum computing career ...",True,2021-06-17T00:00:00,Jun 2021,1,97,150,arch
Head First Software Architecture,211269073,84.99,Raju Gandhi,O'Reilly Media,2024,,,"What will you learn from this book? If you're a software developer looking for a quick on-ramp to software architecture, this handy guide is a great place to start. From the authors of Fundamentals of Software Architecture, Head First Software Architecture teaches you how to think architecturally and explores the unique challenges of software...",True,2024-03-25T00:00:00,Mar 2024,3,97,150,arch
Programming Kubernetes,209744006,71.99,Michael Hausenblas,O'Reilly Media,2019,Developing Cloud-Native Applications,,"If you’re looking to develop native applications in Kubernetes, this is your guide. Developers and AppOps administrators will learn how to build Kubernetes-native applications that interact directly with the API server to query or update the state of resources. AWS developer advocate Michael Hausenblas and Red Hat principal software engineer...",True,2019-07-18T00:00:00,Jul 2019,2,97,150,arch
Docker Deep Dive,210149429,35.99,Nigel Poulton,Packt Publishing,2020,Zero to Docker in a single book,,,True,2020-10-29T00:00:00,Oct 2020,1,97,150,arch
PCI Express System Architecture,159623,44.85170475,Ravi Budruk,Addison-Wesley Longman,2003,,,PCI Express System Architecture provides an in-depth description of this technology and provides insights into its new features and implementation requirements. This comprehensive book describes the PCI Express technology using an approach that is as easy to read and reference. The book is organized so that all relevant issues related to key...,True,2003-06-26T00:00:00,Jun 2003,5,97,150,arch
Docker Deep Dive.,210934524,35.99,Nigel Poulton,Packt Publishing,2023,Zero to Docker in a Single Book,,,True,2023-07-20T00:00:00,Jul 2023,1,97,150,arch
Computer Organization and Design RISC-V Edition,210208938,107.52158295,David A. Patterson,Elsevier Science,2020,The Hardware Software Interface, (2nd ed.),"Computer Organization and Design RISC-V Edition: The Hardware Software Interface, Second Edition, the award-winning textbook from Patterson and Hennessy that is used by more than 40,000 students per year, continues to present the most comprehensive and readable introduction to this core computer science topic. This version of the book...",True,2020-12-11T00:00:00,Dec 2020,2,97,150,arch
Semantic Software Design,209791172,56.99,Eben Hewitt,O'Reilly Media,2019,A New Theory and Practical Guide for Modern Architects,,"With this practical book, architects, CTOs, and CIOs will learn a set of patterns for the practice of architecture, including analysis, documentation, and communication. Author Eben Hewitt shows you how to create holistic and thoughtful technology plans, communicate them clearly, lead people toward the vision, and become a great architect or...",True,2019-09-25T00:00:00,Sep 2019,1,97,150,arch
"Pentium Processor System Architecture, Second Edition",120549,13.54398975,Tom Shanley,Addison-Wesley Longman,1995,, (2nd ed.),"A comprehensive description of the Pentium microprocessor and its relationship to the remainder of the system. Emphasis is placed on the interaction of the processor's execution units, internal caches, and the external cache and system memory. The different types of Pentium bus transfers are described in detail.",True,2002-02-28T00:00:00,Oct 1995,2,97,150,arch
Linux Administration Cookbook,209563347,49.99,Adam K. Dean,Packt Publishing,2018,Insightful recipes to work with system administration tasks on Linux,,,True,2018-12-31T00:00:00,Dec 2018,1,97,150,arch
Solutions Architect's Handbook,210456527,55.99,Saurabh Shrivastava,Packt Publishing,2022,Kick-start your career as a solutions architect by learning architecture design principles and strategies,,,True,2022-01-17T00:00:00,Jan 2022,5,97,150,arch
