Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Getting (More of) What You Want,95710218,26.99,Margaret A. Neale,Basic Books,2015,"How the Secrets of Economics and Psychology Can Help You Negotiate Anything, in Business and in Life",,"Two top business professors offer up &quot;the best research and advice on negotiation&quot; (Chip Heath) Do you know what you want? How can you make sure you get it? Or rather, how can you convince others to give it to you? Almost every interaction involves negotiation, yet we often miss the cues that would allow us to make the most of these...",True,2015-07-14T00:00:00,Jul 2015,2,97,150,business
7 Rules of Power,210367182,34.0,Jeffrey Pfeffer,BenBella Books,2022,Surprising--but True--Advice on How to Get Things Done and Advance Your Career,,"&lt;b&gt;If you want to ""change lives, change organizations, change the world,"" the Stanford business school&amp;rsquo;s motto, you need power.&lt;/b&gt;&lt;br&gt;&lt;br&gt;Is power the last dirty secret or the secret to success? Both. While...",True,2022-06-07T00:00:00,Jun 2022,1,97,150,business
Getting to Yes,713184,14.99,Roger Fisher,Penguin Publishing Group,2011,Negotiating Agreement Without Giving In,,"The key text on problem-solving negotiation-updated and revised Getting to Yes has helped millions of people learn a better way to negotiate. One of the primary business texts of the modern era, it is based on the work of the Harvard Negotiation Project, a group that deals with all levels of negotiation and conflict resolution....",True,2011-05-03T00:00:00,May 2011,3,97,150,business
Resonate,706733,35.95,Nancy Duarte,Wiley,2010,Present Visual Stories that Transform Audiences,,"Reveals the underlying story form of all great presentations that will not only create impact, but will move people to action Presentations are meant to inform, inspire, and persuade audiences. So why then do so many...",True,2010-11-17T00:00:00,Nov 2010,1,97,150,business
The Engineering Executive's Primer,211219469,42.99,Will Larson,O'Reilly Media,2024,,,"As an engineering manager, you almost always have someone in your company to turn to for advice: a peer on another team, your manager, or even the head of engineering. But who do you turn to if you're the head of engineering? Engineering executives have a challenging learning curve, and many folks excitedly start their first executive role only...",True,2024-02-06T00:00:00,Feb 2024,1,97,150,business
Slow Productivity,210860195,16.99,Cal Newport,Penguin Publishing Group,2024,The Lost Art of Accomplishment Without Burnout,,"A New York Times, Washington Post, USA Today, and IndieBound bestseller""Brilliant and timely"" — Oliver Burkeman~ Do Fewer Things. Work at a Natural Pace. Obsess over Quality. ~ From the New York Times bestselling author of Digital Minimalism and Deep Work, a groundbreaking philosophy for pursuing meaningful accomplishment while...",True,2024-03-05T00:00:00,Mar 2024,1,97,150,business
Team Topologies,209724554,18.99,Matthew Skelton,IT Revolution Press,2019,Organizing Business and Technology Teams for Fast Flow,,In Team Topologies IT consultants Matthew Skelton and Manuel Pais share secrets of successful team patterns and interactions for IT through four fundamental team topologies and three interaction modes.,True,2019-09-17T00:00:00,Sep 2019,3,97,150,business
The Manager's Path,95728673,44.99,Camille Fournier,O'Reilly Media,2017,A Guide for Tech Leaders Navigating Growth and Change,,"Managing people is difficult wherever you work. But in the tech industry, where management is also a technical discipline, the learning curve can be brutal—especially when there are few tools, texts, and frameworks to help you. In this practical guide, author Camille Fournier (tech lead turned CTO) takes you through each stage in the journey...",True,2016-11-13T00:00:00,Mar 2017,1,97,150,business
The Materials of Service Design,211172678,42.8632,Johan Blomkvist,Edward Elgar Publishing,2023,,,"If Design is about forming materials, then what are the materials of Service Design? In this ground-breaking book, Johan Blomkvist, Simon Clatworthy and Stefan Holmlid explore this question by establishing a discourse around the materials of service design, discussing materials as a means to explore what service design is and could be.",True,2023-12-12T00:00:00,Dec 2023,3,97,150,business
Subprime Attention Crisis,209952693,11.99,Tim Hwang,"Farrar, Straus and Giroux",2020,Advertising and the Time Bomb at the Heart of the Internet,,"From FSGO x Logic : a revealing examination of digital advertising and the internet's precarious foundation In Subprime Attention Crisis , Tim Hwang investigates the way big tech financializes attention. In the process, he shows us how digital advertising—the beating heart of the internet—is at risk of collapsing, and that its potential demise...",True,2020-10-13T00:00:00,Oct 2020,1,97,150,business
Cognitive Behavioural Coaching Pocketbook,210929990,14.16,Dorothy Spry,Management Pocketbooks,2015,,,"The widespread popularity of coaching in support of workplace performance, leadership development and employee engagement was heavily underscored by the findings of a CIPD (Chartered Institute of Personnel and Development) survey carried out in 2009...",True,2015-09-16T00:00:00,Sep 2015,1,97,150,business
The 5 Scientific Laws of Life & Leadership,210357598,9.99,Brett DiNovi,"Cranberry Press, LLC",2021,Behavioral Karma,,"In this book, consultants Brett DiNovi and Paul Gavoni, Behavioral Analysts, help leaders of schools, businesses, governments, families, and everyday life to learn and implement leadership principles based on behavioral science and proven case studies. The success of their company, Brett DiNovi &amp; Associates, and their book comes from showing...",True,2021-09-14T00:00:00,Sep 2021,2,97,150,business
International Financial Management,95926921,117.6957842,Geert Bekaert,Cambridge University Press,2017,, (3rd ed.),"Combining academic theory with practical case studies, this book helps students understand global financial markets and business management.",True,2017-11-30T00:00:00,Nov 2017,2,97,150,business
Mastering Bitcoin,211147266,74.99,Andreas M. Antonopoulos,O'Reilly Media,2023,, (3rd ed.),"Join the technological revolution that's taking the financial world by storm. Mastering Bitcoin is your guide through the seemingly complex world of Bitcoin, providing the knowledge you need to participate in the internet of money. Whether you're building the next killer app, investing in a startup, or simply curious about the technology, this...",True,2023-11-03T00:00:00,Nov 2023,2,97,150,business
What the Heck Is EOS?,210328123,29.95,Gino Wickman,BenBella Books,2017,A Complete Guide for Employees in Companies Running on EOS,,"Has your company struggled to roll EOS out to all levels of your organization? &#160;Do your employees understand why EOS is important or even what it is? What the Heck is EOS? is for the millions of employees in companies running their businesses on EOS (Entrepreneurial Operating System). &#160;An easy and fast read, this book...",True,2017-09-05T00:00:00,Sep 2017,1,97,150,business
A Guide to the Project Management Body of Knowledge (PMBOK® Guide) – Seventh Edition and The Standard for Project Management (ENGLISH),210307712,134.0,Project Management Institute,Project Management Institute,2021,,,"PMBOK&reg; Guide is the go-to resource for project management practitioners. The project management profession has significantly evolved due to emerging technology, new approaches and rapid market changes. Reflecting this evolution, The Standard for Project Management enumerates 12 principles of project management and the PMBOK&reg; Guide –...",True,2021-07-01T00:00:00,Jul 2021,1,97,150,business
Atomic Habits,96183202,16.99,James Clear,Penguin Publishing Group,2018,An Easy & Proven Way to Build Good Habits & Break Bad Ones,,"The #1 New York Times bestseller. Over 15 million copies sold!Tiny Changes, Remarkable ResultsNo matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break...",True,2018-10-16T00:00:00,Oct 2018,1,97,150,business
Bargaining for Advantage,289488,15.99,G. Richard Shell,Penguin Publishing Group,2006,Negotiation Strategies for Reasonable People,,"A fully revised and updated edition of the quintessential guide to learning to negotiate effectively in every part of your life ""A must read for everyone seeking to master negotiation. This newly updated classic just got even better.""—Robert Cialdini, bestselling author of Influence and Pre-Suasion As director of the...",True,2006-05-02T00:00:00,May 2006,1,97,150,business
Radical Candor: Fully Revised & Updated Edition,209625084,16.99,Kim Scott,St. Martin's Publishing Group,2019,Be a Kick-Ass Boss Without Losing Your Humanity,,"* New York Times and Wall Street Journal bestseller multiple years running * Translated into 20 languages, with more than half a million copies sold worldwide * A Hudson and Indigo Best Book of the Year * Recommended by Shona Brown, Rachel Hollis, Jeff Kinney, Daniel Pink, Sheryl Sandberg, and Gretchen Rubin Radical Candor has been embraced...",True,2019-10-01T00:00:00,Oct 2019,1,97,150,business
Scaling Up,209668244,19.95,Verne Harnish,"Gazelles, Inc.",2014,How a Few Companies Make It...and Why the Rest Don't (Rockefeller Habits 2.0 Revised Edition),,"Winner of the International Book Awards for General Business Winner of the Readers' Favorite International Book Award for Non-Fiction Business This is the first major revision (2022) to Scaling Up since it was published in 2014. With over 500,000 copies in print, it's become the standard for scaling any for-purpose or for-profit organization. In...",True,2014-10-11T00:00:00,Oct 2014,1,97,150,business
Modeling Monetary Economies,210548133,68.50802995,Bruce Champ,Cambridge University Press,2022,, (5th ed.),For advanced monetary economics and money and banking courses. A first principles approach with increased cryptocurrency coverage.,True,2022-06-02T00:00:00,Jun 2022,3,97,150,business
Getting Past No,266778,14.99,William Ury,Random House Publishing Group,2007,Negotiating in Difficult Situations,,"We all want to get to yes, but what happens when the other person keeps saying no? How can you negotiate successfully with a stubborn boss, an irate customer, or a deceitful coworker?In Getting Past No, William Ury of Harvard Law School&#8217;s Program on Negotiation offers a proven breakthrough strategy for turning adversaries into...",True,2007-04-17T00:00:00,Apr 2007,1,97,150,business
