Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
"CCNA 200-301 Official Cert Guide, Volume 1",209772418,48.98976795,Wendell Odom,Pearson Education,2019,,,"CCNA 200-301 Official Cert Guide, Volume 1 presents you with an organised test-preparation routine using proven series elements and techniques. “Do I Know This Already?” quizzes open each chapter and enable you to decide how much time you need to spend on each section. Exam topic lists make referencing easy. Chapter-ending Exam Preparation Tasks...",True,2019-09-10T00:00:00,Sep 2019,1,97,150,certificate_license
"CCNA 200-301 Official Cert Guide, Volume 2",209898585,48.98976795,Wendell Odom,Pearson Education,2019,,,"Trust the best-selling Official Cert Guide series from Cisco Press to help you learn, prepare, and practice for exam success. It is built with the objective of providing assessment, review, and practice to help ensure you are fully prepared for your certification exam.&nbsp;This book, combined with the CCNA 200-301 Official Cert Guide...",True,2019-12-10T00:00:00,Dec 2019,1,97,150,certificate_license
"CompTIA Network+ Certification All-in-One Exam Guide, Eighth Edition (Exam N10-008)",210456114,81.6723,Mike Meyers,McGraw Hill LLC,2022,, (8th ed.),"This up-to-date Mike Meyers exam guide delivers complete coverage of every topic on the N10-008 version of the CompTIA Network+ Certification exam Get complete coverage of all the CompTIA Network+ exam objectives inside this comprehensive resource. Created and edited by Mike Meyers, the leading expert on CompTIA certification and training,...",True,2022-02-11T00:00:00,Feb 2022,2,97,150,certificate_license
CompTIA Network+ N10-008 Exam Cram,210332070,48.98976795,Emmett Dulaney,Pearson Education,2021,, (7th ed.),"CompTIA® Network+ N10-008 Exam Cram, Seventh Edition is the perfect study guide to help students pass CompTIA's Network+ N10-008 exam. It provides coverage and practice questions for every exam topic, including substantial new coverage. The book presents readers with an organized test-preparation routine through the use of proven series elements...",True,2021-08-24T00:00:00,Aug 2021,1,97,150,certificate_license
"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102)",210689421,81.6723,Mike Meyers,McGraw Hill LLC,2022,, (11th ed.),"This bestselling on-the-job reference and test preparation guide has been fully revised for new 2022 exam objectives This fully revised and updated resource offers complete coverage of the latest release of CompTIA A+ exams 220-1101 & 220-1102. You’ll find learning objectives at the beginning of each chapter, exam tips, practice exam questions,...",True,2022-11-16T00:00:00,Nov 2022,3,97,150,certificate_license
Exam Ref MD-102 Microsoft Endpoint Administrator,210901632,54.43458795,Andrew Warren,Pearson Education,2023,,,"Prepare for Microsoft Exam MD-102—and help demonstrate your real-world mastery of the skills and knowledge required to deploy, manage, and protect modern endpoints at scale in Microsoft 365 environments. Designed for endpoint administrators, this Exam Ref focuses on the critical thinking and decision-making acumen needed for success at...",True,2023-08-18T00:00:00,Aug 2023,2,97,150,certificate_license
Exam Ref MS-102 Microsoft 365 Administrator,210964419,54.43458795,Orin Thomas,Pearson Education,2023,,,"Prepare for Microsoft Exam MS-102 and help demonstrate your real-world mastery of skills and knowledge required to deploy and manage Microsoft 365 and perform Microsoft 365 tenant-level implementation and administration of cloud and hybrid environments. Designed for administrators, this Exam Ref focuses on the critical thinking and...",True,2023-10-18T00:00:00,Oct 2023,1,97,150,certificate_license
(ISC)2 CISSP Certified Information Systems Security Professional Official Practice Tests,210320755,50.0,Mike Chapple,Wiley,2021,, (3rd ed.),Full-length practice tests covering all CISSP domains for the ultimate exam prep The (ISC)2 CISSP Official Practice Tests is a major resource for (ISC)2 Certified Information...,True,2021-06-16T00:00:00,Jun 2021,2,97,150,certificate_license
Certified Kubernetes Application Developer (CKAD) Study Guide,210221188,59.99,Benjamin Muschko,O'Reilly Media,2021,,,"Developers with the ability to operate, troubleshoot, and monitor applications in Kubernetes are in high demand today. To meet this need, the Cloud Native Computing Foundation created a certification exam to establish a developer's credibility and value in the job market to work in a Kubernetes environment. The Certified Kubernetes Application...",True,2021-02-02T00:00:00,Feb 2021,1,97,150,certificate_license
"CISSP All-in-One Exam Guide, Ninth Edition",210393469,95.28435,Fernando Maymi,McGraw Hill LLC,2021,, (9th ed.),"A new edition of Shon Harris’ bestselling exam prep guide―fully updated for the 2021 version of the CISSP exam Thoroughly updated for the latest release of the Certified Information Systems Security Professional exam, this comprehensive resource covers all objectives in the 2021 CISSP exam developed by the International Information Systems...",True,2021-11-12T00:00:00,Nov 2021,2,97,150,certificate_license
Certified Kubernetes Security Specialist (CKS) Study Guide,210861885,59.99,Benjamin Muschko,O'Reilly Media,2023,,,"Vulnerabilities in software and IT infrastructure pose a major threat to organizations. In response, the Cloud Native Computing Foundation (CNCF) developed the Certified Kubernetes Security Specialist (CKS) certification to verify an administrator's proficiency to protect Kubernetes clusters and the cloud native software they contain. This...",True,2023-06-08T00:00:00,Jun 2023,1,97,150,certificate_license
AWS Certified Solutions Architect - Associate (SAA-C03) Cert Guide,210703909,65.32422795,Mark Wilkins,Pearson Education,2023,, (2nd ed.),"Trust the best-selling Cert Guide series from Pearson IT Certification to help you learn, prepare, and practice for exam success. They are built with the objective of providing assessment, review, and practice to help ensure you are fully prepared for your certification exam. AWS Certified Solutions Architect - Associate (SAA-C03) Cert...",True,2023-06-05T00:00:00,Jun 2023,1,97,150,certificate_license
AWS Certified Cloud Practitioner Study Guide With 500 Practice Test Questions,211162976,65.99,Ben Piper,Wiley,2023,Foundational (CLF-C02) Exam, (2nd ed.),"Distinguish yourself by becoming a certified AWS Cloud Practitioner In the newly revised second edition of AWS Certified Cloud Practitioner Study Guide: Foundational (CLF-C02) Exam ,...",True,2023-11-28T00:00:00,Nov 2023,2,97,150,certificate_license
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,210320754,88.0,Mike Chapple,Wiley,2021,, (9th ed.),"The only Official CISSP Study Guide - fully updated for the 2021 CISSP Body of Knowledge (ISC)2 Certified Information Systems Security Professional (CISSP) Official Study Guide, 9th...",True,2021-06-16T00:00:00,Jun 2021,3,97,150,certificate_license
Certified Kubernetes Administrator (CKA) Study Guide,210584188,71.99,Benjamin Muschko,O'Reilly Media,2022,,,"The ability to administer and monitor a Kubernetes cluster is in high demand today. To meet this need, the Cloud Native Computing Foundation developed a certification exam to establish an administrator's credibility and value in the job market to confidently work in a Kubernetes environment. The Certified Kubernetes Administrator (CKA)...",True,2022-06-13T00:00:00,Jun 2022,1,97,150,certificate_license
GCIH GIAC Certified Incident Handler All-in-One Exam Guide,210095328,73.50507,Nick Mitropoulos,McGraw Hill LLC,2020,,,"This self-study guide delivers complete coverage of every topic on the GIAC Certified Incident Handler exam Prepare for the challenging GIAC Certified Incident Handler exam using the detailed information contained in this effective exam preparation guide. Written by a recognized cybersecurity expert and seasoned author, GCIH GIAC Certified...",True,2020-08-21T00:00:00,Aug 2020,1,97,150,certificate_license
"CSSLP Certified Secure Software Lifecycle Professional All-in-One Exam Guide, Third Edition",210440437,95.28435,Wm. Arthur Conklin,McGraw Hill LLC,2022,, (3rd ed.),"Providing 100% coverage of the latest CSSLP exam, this self-study guide offers everything you need to ace the exam CSSLP Certified Secure Software Lifecycle Professional All-in-One Exam Guide, Third Edition covers all eight exam domains of the challenging CSSLP exam, developed by the International Information Systems Security Certification...",True,2022-02-04T00:00:00,Feb 2022,2,97,150,certificate_license
OCP Oracle Certified Professional Java SE 17 Developer Practice Tests,210638412,54.0,Jeanne Boyarsky,Wiley,2022,Exam 1Z0-829,,"Efficiently and effectively prepare for the OCP Java SE 17 certification exam In OCP Oracle Certified Professional Java SE 17 Developer Practice Tests: Exam 1Z0-829, a team of veteran Java developers helps you gain the confidence and knowledge you...",True,2022-08-02T00:00:00,Aug 2022,2,97,150,certificate_license
"CISM Certified Information Security Manager All-in-One Exam Guide, Second Edition",210664181,81.6723,Peter H. Gregory,McGraw Hill LLC,2022,, (2nd ed.),"Provides 100% coverage of every objective on the 2022 CISM exam This integrated self-study guide enables you to take the 2022 version of the challenging CISM exam with complete confidence. Written by an expert in the field, the book offers exam-focused coverage of information security governance, information risk management, information security...",True,2022-10-14T00:00:00,Oct 2022,1,97,150,certificate_license
CompTIA Security+ Get Certified Get Ahead,211145997,13.99,Joe Shelley,"Certification Experts, LLC",2023,SY0-701 Study Guide,,Your complete resource for passing the Security+ exam on the first try. The CompTIA Security+ Get Certified Get Ahead SY0-701 Study Guide has helped thousands of readers pass the exam on their first attempt. This book covers all of the SY0-701 objectives and includes the same elements readers raved about in the previous versions. Each of the...,True,2023-11-07T00:00:00,Nov 2023,2,97,150,certificate_license
