Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Generative Deep Learning,210833591,84.99,David Foster,O'Reilly Media,2022,, (2nd ed.),"Generative AI is the hottest topic in tech. This practical book teaches machine learning engineers and data scientists how to use TensorFlow and Keras to create impressive generative deep learning models from scratch, including variational autoencoders (VAEs), generative adversarial networks (GANs), Transformers, normalizing flows, energy-based...",True,2023-04-28T00:00:00,Jun 2022,1,97,150,AI
Developing Apps with GPT-4 and ChatGPT,211036182,63.99,Olivier Caelen,O'Reilly Media,2023,,,This minibook is a comprehensive guide for Python developers who want to learn how to build applications with large language models. Authors Olivier Caelen and Marie-Alice Blete cover the main features and benefits of GPT-4 and ChatGPT and explain how they work. You'll also get a step-by-step guide for developing applications using the GPT-4 and...,True,2023-08-29T00:00:00,Aug 2023,2,97,150,AI
ChatGPT For Dummies,210846834,23.99,Pam Baker,Wiley,2023,,,"Learn how the disruptive AI chatbot is going to change school, work, and beyond ChatGPT For Dummies demystifies the artificial intelligence tool that can answer questions, write essays, and generate just about any kind of text it’s asked for. This...",True,2023-05-18T00:00:00,May 2023,1,97,150,AI
Artificial Intelligence,209592316,14.99,Melanie Mitchell,"Farrar, Straus and Giroux",2019,A Guide for Thinking Humans,,"“After reading Mitchell’s guide, you’ll know what you don’t know and what other people don’t know, even though they claim to know it. And that’s invaluable."" – The New York Times A leading computer scientist brings human sense to the AI bubble No recent scientific enterprise has proved as alluring, terrifying, and filled with extravagant promise...",True,2019-10-15T00:00:00,Oct 2019,1,97,150,AI
Semantic Modeling for Data,210104235,96.99,Panos Alexopoulos,O'Reilly Media,2020,,,"What value does semantic data modeling offer? As an information architect or data science professional, let’s say you have an abundance of the right data and the technology to extract business gold—but you still fail. The reason? Bad data semantics. In this practical and comprehensive field guide, author Panos Alexopoulos takes you on an...",True,2020-08-19T00:00:00,Aug 2020,1,97,150,AI
AI and Machine Learning for Coders,210136933,71.99,Laurence Moroney,O'Reilly Media,2020,,,"If you're looking to make a career move from programmer to AI specialist, this is the ideal place to start. Based on Laurence Moroney's extremely successful AI courses, this introductory book provides a hands-on, code-first approach to help you build confidence while you learn key topics. You'll understand how to implement the most common...",True,2020-10-02T00:00:00,Oct 2020,1,97,150,AI
Design Patterns,726555,65.32422795,Erich Gamma,Pearson Education,1994,Elements of Reusable Object-Oriented Software (Adobe Reader),,"Capturing a wealth of experience about the design of object-oriented software, four top-notch designers present a catalog of simple and succinct solutions to commonly occurring design problems. Previously undocumented, these 23 patterns allow designers to create more flexible, elegant, and ultimately reusable designs without having to...",True,1994-10-31T00:00:00,Oct 1994,4,97,150,AI
Practical Machine Learning for Computer Vision,210336891,96.99,Valliappa Lakshmanan,O'Reilly Media,2021,,,"This practical book shows you how to employ machine learning models to extract information from images. ML engineers and data scientists will learn how to solve a variety of image problems including classification, object detection, autoencoders, image generation, counting, and captioning with proven ML techniques. This book provides a great...",True,2021-07-21T00:00:00,Jul 2021,3,97,150,AI
Mathematics for Machine Learning,209910187,56.40846335,Marc Peter Deisenroth,Cambridge University Press,2020,,,"Distills key concepts from linear algebra, geometry, matrices, calculus, optimization, probability and statistics that are used in machine learning.",True,2020-04-23T00:00:00,Apr 2020,3,97,150,AI
PyTorch Pocket Reference,210286664,29.99,Joe Papa,O'Reilly Media,2021,,,"This concise, easy-to-use reference puts one of the most popular frameworks for deep learning research and development at your fingertips. Author Joe Papa provides instant access to syntax, design patterns, and code examples to accelerate your development and reduce the time you spend searching for answers. Research scientists, machine learning...",True,2021-05-11T00:00:00,May 2021,1,97,150,AI
