Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
This I Believe,632957,12.99,Jay Allison,Henry Holt and Co.,2006,The Personal Philosophies of Remarkable Men and Women,,An inspiring collection of the personal philosophies and core values of a fascinating group of Americans,True,2006-10-03T00:00:00,Oct 2006,2,97,150,info_mindful
The Complete Book of Numerology,138566263,4.99,David A. Phillips,Hay House,2005,Discovering the Inner Self,,"Discover the science of self-discoveryTo the conventional scientist, numbers are merely symbols of comparative quantities, but in the broader, metaphysical sense, they assume a deeper, more profound significance. The Complete Book of Numerology reveals the underlying meaning behind the numbers in your life and enables you to...",True,2005-11-01T00:00:00,Nov 2005,1,97,150,info_mindful
The Power of Now,1168805,20.99,Eckhart Tolle,New World Library,2010,A Guide to Spiritual Enlightenment,,"This #1 New York Times bestseller is now available in paperback. Powerful, direct, heartfelt and transformative, the words in The Power of Now can change readers’ lives.",True,2010-10-06T00:00:00,Oct 2010,1,97,150,info_mindful
Anxiety Rx,210140719,9.99,Russell Kennedy,THE ANXIETY MD,2020,,,"** Winner of the 2020 Nautilus Award in Psychology ** ﻿ Anxiety Is Unavoidable: Suffering Is Optional On February 8, 2013, I was a highly anxious and burned-out fifty-two-year-old physician. That night, as I left my clinic in my usual chronic state of anxiety, I wondered if life was worth living. But I had to be onstage as a stand-up comedian an...",True,2020-10-15T00:00:00,Oct 2020,1,97,150,info_mindful
Letting Go,96316622,22.5,David R. Hawkins,Hay House,2013,The Pathway of Surrender,,"This groundbreaking bestseller describes a simple and effective way to let go of challenges from world-renowned author, psychiatrist, clinician, spiritual teacher, and researcher of consciousness, David R. Hawkins, M.D., Ph.D.&ldquo;Letting Go&rdquo; is a guide to helping to remove the obstacles we all have that keep us from living a...",True,2013-08-01T00:00:00,Aug 2013,1,97,150,info_mindful
Astrology for the Soul,458127,8.99,Jan Spiller,Random House Publishing Group,2009,,,"For the first time ever, a famous spiritual astrologer shares the secrets, previously known only to professionals, that hold the key to your future. Astrologer Jan Spiller shows you the key to discovering your hidden talents, your deepest desires, and the ways you can avoid negative influences that may distract you from achieving...",True,2009-11-04T00:00:00,Nov 2009,1,97,150,info_mindful
Red Moon,209857490,10.27002272,Miranda Eve Gray,Upfront,2017,,,"""Ancient menstrual wisdom for modern women! For our ancestors the menstrual cycle was a source of wonderful creative, spiritual, sexual, emotional, mental and physical energies. It was a gift that empowered women to renew themselves each month, to manifest and create the world around them, to connect deeply with the land and their family, and to...",True,2017-12-07T00:00:00,Dec 2017,1,97,150,info_mindful
Rest Is Resistance,210495183,17.99,Tricia Hersey,"Little, Brown and Company",2022,A Manifesto,,"***INSTANT&#160; NEW YORK TIMES&#160; BESTSELLER*** Disrupt and push back against capitalism and white supremacy. In this book, Tricia Hersey, aka The Nap Bishop, encourages us to connect to the liberating power of rest, daydreaming, and naps as a foundation for healing and justice. What would it be like to live in a well-rested world? Far too...",True,2022-10-11T00:00:00,Oct 2022,1,97,150,info_mindful
Your Soul Contract Decoded,1424594,25.95,Nicolas David Ngan,Watkins Media,2012,Discovering the Spiritual Map Of Your Life With Numerology,,Discover how to use the powers of numerology to better understand yourself and your life&mdash;from your purpose and goals to your talents and karmic patterns. Spiritual seekers are feeling an increasingly strong urge from within to connect with and manifest their life purpose. They are seeking out tools and knowledge to awaken to this...,True,2012-01-01T00:00:00,Jan 2012,1,97,150,info_mindful
"The Encyclopedia of Crystals, New Edition",95758425,1.99,Judy Hall,Octopus,2017,,,"The Encyclopedia of Crystals is organized by colour for easy reference, and the comprehensive index makes finding and identifying crystals effortless. Each entry provides a detailed description of the crystal's source, benefits and associations. In addition, you'll also learn fascinating facts about their properties and origins. If you work with...",True,2017-05-25T00:00:00,May 2017,1,97,150,info_mindful
Think and Grow Rich,390919,13.54398975,Napoleon Hill,The Floating Press,1937,,,"What Do You Want Most? Is It Money, Fame, Power, Contentment, Personality, Peace of Mind, Happiness? The Thirteen Steps to Riches described in this book offer the shortest dependable philosophy of individual achievement ever presented for the benefit of the man or woman who is searching for a definite goal in life. &quot;This is not a novel. It...",True,1937-01-01T00:00:00,Jan 1937,1,97,150,info_mindful
Mindfulness as Sustainability,210153371,40.76808975,Maria Jaoudi,State University of New York Press,2021,Lessons from the World's Religions,,Offers practical and personal ways to help mitigate global climate change while sustaining an emotional and spiritual center through mindfulness practice.,True,2021-02-01T00:00:00,Feb 2021,1,97,150,info_mindful
