Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Ansible: Up and Running,210620346,71.99,Bas Meijer,O'Reilly Media,2022,, (3rd ed.),"Among the many configuration management tools available, Ansible has some distinct advantages: It's minimal in nature. You don't need to install agents on your nodes. And there's an easy learning curve. With this updated third edition, you'll quickly learn how to be productive with Ansible whether you're a developer deploying code or a system...",True,2022-07-12T00:00:00,Jul 2022,3,97,150,networking
DNS and BIND,443122,67.99,Cricket Liu,O'Reilly Media,2006,Help for System Administrators, (5th ed.),"DNS and BIND tells you everything you need to work with one of the Internet's fundamental building blocks: the distributed host information database that's responsible for translating names into addresses, routing mail to its proper destination, and even listing phone numbers with the new ENUM standard. This book brings you up-to-date with the...",True,2006-10-12T00:00:00,May 2006,2,97,150,networking
Arista Warrior,209724563,84.99,Gary A. Donahue,O'Reilly Media,2019,Arista Products with a Focus on EOS, (2nd ed.),"Arista Networks has become a key player when it comes to software-driven cloud networking solutions for large data center storage and computing environments. In this updated edition of Arista Warrior , renowned consultant and technical author Gary Donahue Network Arista Networks has become a key player when it comes to software-driven cloud...",True,2019-06-28T00:00:00,Jun 2019,1,97,150,networking
Penetration Testing Bootcamp,95795227,49.99,Jason Beltrame,Packt Publishing,2017,Quickly get up and running with pentesting techniques,,,True,2017-06-28T00:00:00,Jun 2017,1,97,150,networking
Networking For Dummies,209981222,43.99,Doug Lowe,Wiley,2020,, (12th ed.),"Set up a secure network at home or the office Fully revised to cover Windows 10 and Windows Server 2019, this new edition of the trusted Networking For Dummies helps both beginning...",True,2020-07-14T00:00:00,Jul 2020,1,97,150,networking
Mastering Windows Server 2022,210850234,50.99,Jordan Krause,Packt Publishing,2023,Comprehensive administration of your Windows Server environment,,,True,2023-05-26T00:00:00,May 2023,1,97,150,networking
WPF 4.5 Unleashed,1274314,65.32422795,Adam Nathan,Pearson Education,2013,,,"The #1 WPF Book--Now Updated for WPF 4.5! Thorough, authoritative coverage, practical examples, clear writing, and full-color presentation make this one of the most widely acclaimed programming books of the last decade. Windows Presentation Foundation (WPF) is the recommended technology for creating modern Windows desktop apps....",True,2013-06-29T00:00:00,Jun 2013,1,97,150,networking
Foundations of Modern Networking,2258414,65.32422795,William Stallings,Pearson Education,2015,"SDN, NFV, QoE, IoT, and Cloud",,"Foundations of Modern Networking is a comprehensive and unified survey of modern networking technology and applications for today's technical professionals, business professionals, and students. Using the same teaching approach that has earned him 13 ""Computer Science Textbook of the Year"" Awards, Dr. Stallings imparts a thorough understanding...",True,2015-10-17T00:00:00,Oct 2015,1,97,150,networking
IoT and Edge Computing for Architects,209973979,49.99,Perry Lea,Packt Publishing,2020,"Implementing edge and IoT systems from sensors to clouds with communication systems, analytics, and security",,,True,2020-03-06T00:00:00,Mar 2020,1,97,150,networking
OpenStack for Architects,96237030,44.99,Michael Solberg,Packt Publishing,2018,Design production-ready private cloud infrastructure,,,True,2018-05-31T00:00:00,May 2018,2,97,150,networking
"Mobile Forensic Investigations: A Guide to Evidence Collection, Analysis, and Presentation",1872109,73.50507,Lee Reiber,McGraw Hill LLC,2015,,,"This in-depth guide reveals the art of mobile forensics investigation with comprehensive coverage of the entire mobile forensics investigation lifecycle, from evidence collection through advanced data analysis to reporting and presenting findings. Mobile Forensics Investigation: A Guide to Evidence Collection, Analysis, and Presentation leads...",True,2015-11-22T00:00:00,Nov 2015,1,97,150,networking
5G Core Networks,209890852,170.150625,Stefan Rommer,Elsevier Science,2019,Powering Digitalization,,"5G Core Networks: Powering Digitalization provides an overview of the 5G Core network architecture, as well as giving descriptions of cloud technologies and the key concepts in the 3GPP rel-15/16 specifications. Written by the authors who are heavily involved in development of the 5G standards and who wrote the successful book on EPC...",True,2019-11-14T00:00:00,Nov 2019,6,97,150,networking
Linux Kernel Programming,210233443,49.99,Kaiwan N Billimoria,Packt Publishing,2021,"A comprehensive guide to kernel internals, writing kernel modules, and kernel synchronization",,,True,2021-03-19T00:00:00,Mar 2021,1,97,150,networking
AWS Certified Cloud Practitioner Exam Guide,210419192,47.99,Rajesh Daswani,Packt Publishing,2022,Build your cloud computing knowledge and build your skills as an AWS Certified Cloud Practitioner (CLF-C01),,,True,2022-01-13T00:00:00,Jan 2022,1,97,150,networking
XAML Unleashed,1911733,54.43458795,Adam Nathan,Pearson Education,2014,,,"If you want to write Windows apps with XAML, one person can help you more than anyone else: Adam Nathan. He has built a well-deserved reputation as the world’s #1 expert on putting it to work. Now, he’s written the definitive, practical XAML tutorial and reference: XAML Unleashed. Nathan answers the questions you’re most likely to ask, walks...",True,2014-12-15T00:00:00,Dec 2014,1,97,150,networking
Evolving Software Processes,210456086,256.95,Arif Ali Khan,Wiley,2022,Trends and Future Directions,,"EVOLVING SOFTWARE PROCESSES The book provides basic building blocks of evolution in software processes, such as DevOps, scaling agile process in GSD, in order to lay a solid foundation for successful and...",True,2022-01-05T00:00:00,Jan 2022,2,97,150,networking
Terraform Cookbook,211036127,50.99,Mikael Krief,Packt Publishing,2023,"Provision, run, and scale cloud architecture with real-world examples using Terraform",,,True,2023-08-31T00:00:00,Aug 2023,2,97,150,networking
Architectural Patterns and Techniques for Developing IoT Solutions,211053875,45.99,Jasbir Singh Dhaliwal,Packt Publishing,2023,"Build IoT applications using digital twins, gateways, rule engines, AI/ML integration, and related patterns",,,True,2023-09-28T00:00:00,Sep 2023,2,97,150,networking
Fedora Linux System Administration,211162847,65.99,Alex Callejas,Packt Publishing,2023,"Install, manage, and secure your Fedora Linux environments",,,True,2023-11-24T00:00:00,Nov 2023,1,97,150,networking
"Mastering Windows Server 2019, Third Edition",210341947,91.99,Jordan Krause,Packt Publishing,2021,"The complete guide for system administrators to install, manage, and deploy new capabilities with Windows Server 2019",,,True,2021-07-29T00:00:00,Jul 2021,1,97,150,networking
Time Management for System Administrators,443375,39.99,Thomas A. Limoncelli,O'Reilly Media,2005,Stop Working Late and Start Working Smart,,"Time is a precious commodity, especially if you're a system administrator. No other job pulls people in so many directions at once. Users interrupt you constantly with requests, preventing you from getting anything done. Your managers want you to get long-term projects done but flood you with requests for quick-fixes that prevent you from ever...",True,2008-01-18T00:00:00,Nov 2005,1,97,150,networking
AWS Certified Solutions Architect Study Guide,209630835,72.0,Ben Piper,Wiley,2019,Associate SAA-C01 Exam, (2nd ed.),The AWS Certified Solutions Architect Study Guide: Associate (SAA-C01) Exam is your complete and fully updated resource to the AWS Solutions Architect - Associate certification. This invaluable Sybex study guide covers...,True,2019-03-01T00:00:00,Mar 2019,2,97,150,networking
802.11 Wireless Networks: The Definitive Guide,540752,35.99,Matthew S. Gast,O'Reilly Media,2005,The Definitive Guide, (2nd ed.),"As we all know by now, wireless networks offer many advantages over fixed (or wired) networks. Foremost on that list is mobility, since going wireless frees you from the tether of an Ethernet cable at a desk. But that's just the tip of the cable-free iceberg. Wireless networks are also more flexible, faster and easier for you to use, and more...",True,2005-04-25T00:00:00,Apr 2005,1,97,150,networking
Packet Guide to Routing and Switching,769358,16.99,Bruce Hartpence,O'Reilly Media,2011,Exploring the Network Layer,,"Go beyond layer 2 broadcast domains with this in-depth tour of advanced link and internetwork layer protocols, and learn how they enable you to expand to larger topologies. An ideal follow-up to Packet Guide to Core Network Protocols , this concise guide dissects several of these protocols to explain their structure and operation. This isn’t a...",True,2011-08-25T00:00:00,Aug 2011,1,97,150,networking
Essential C# 8.0,210148099,76.21386795,Mark Michaelis,Pearson Education,2020,, (7th ed.),"The Comprehensive, Expert Guide to C# 8.0 for Programmers at All Levels “Welcome to one of the most venerable and trusted franchises you could dream of in the world of C# books—and probably far beyond! . . . Mark is super smart, insists on understanding everything to the core, and has phenomenal insight into how things affect real...",True,2020-10-14T00:00:00,Oct 2020,1,97,150,networking
Docker Deep Dive,210149429,35.99,Nigel Poulton,Packt Publishing,2020,Zero to Docker in a single book,,,True,2020-10-29T00:00:00,Oct 2020,1,97,150,networking
IPv6 Essentials,1710024,24.99,Silvia Hagen,O'Reilly Media,2014,Integrating IPv6 into Your IPv4 Network, (3rd ed.),"If your organization is gearing up for IPv6, this in-depth book provides the practical information and guidance you need to plan for, design, and implement this vastly improved protocol. Author Silvia Hagen takes system and network administrators, engineers, and network designers through the technical details of IPv6 features and functions, and...",True,2014-06-09T00:00:00,Jun 2014,1,97,150,networking
MPLS in the SDN Era,2470673,68.99,Antonio Sanchez Monge,O'Reilly Media,2015,Interoperable Scenarios to Make Networks Scale to New Services,,"How can you make multivendor services work smoothly on today’s complex networks? This practical book shows you how to deploy a large portfolio of multivendor Multiprotocol Label Switching (MPLS) services on networks, down to the configuration level. You’ll learn where Juniper Network's Junos, Cisco's IOS XR, and OpenContrail, interoperate and...",True,2015-12-07T00:00:00,Dec 2015,2,97,150,networking
Juniper MX Series,2681986,66.99,Jr. Douglas Richard Hanks,O'Reilly Media,2016,A Comprehensive Guide to Trio Technologies on the MX, (2nd ed.),"Discover why routers in the Juniper MX Series—with their advanced feature sets and record-breaking scale—are so popular among enterprises and network service providers. This revised and expanded edition shows you step-by-step how to implement high-density, high-speed Layer 2 and Layer 3 Ethernet services, using Router Engine DDoS Protection,...",True,2016-08-25T00:00:00,Aug 2016,3,97,150,networking
Mastering Windows Server 2019,209642202,55.99,Jordan Krause,Packt Publishing,2019,The complete guide for IT professionals to install and manage Windows Server 2019 and deploy new capabilities,,,True,2019-03-18T00:00:00,Mar 2019,1,97,150,networking
Docker Deep Dive.,210934524,35.99,Nigel Poulton,Packt Publishing,2023,Zero to Docker in a Single Book,,,True,2023-07-20T00:00:00,Jul 2023,1,97,150,networking
802.11ac: A Survival Guide,1323196,15.99,Matthew S. Gast,O'Reilly Media,2013,Wi-Fi at Gigabit and Beyond,,"The next frontier for wireless LANs is 802.11ac, a standard that increases throughput beyond one gigabit per second. This concise guide provides in-depth information to help you plan for 802.11ac, with technical details on design, network operations, deployment, and monitoring. Author Matthew Gast—an industry expert who led the development of...",True,2013-07-23T00:00:00,Jul 2013,1,97,150,networking
Concurrent Programming in ML,639411,70.12248825,John H. Reppy,Cambridge University Press,1999,,,A 'how-to' book for programmers and researchers interested in practical applications of Concurrent ML.,True,1999-08-13T00:00:00,Aug 1999,1,97,150,networking
Cloud Computing,1436370,59.87940795,Thomas Erl,Pearson Education,2013,"Concepts, Technology & Architecture",,"In Cloud Computing: Concepts, Technology &amp; Architecture , Thomas Erl, one of the world’s top-selling IT authors, teams up with cloud computing experts and researchers to break down proven and mature cloud computing technologies and practices into a series of well-defined concepts, models, technology mechanisms, and technology architectures,...",True,2013-04-26T00:00:00,Apr 2013,3,97,150,networking
TCP/IP Illustrated,1436080,76.21386795,Kevin R. Fall,Pearson Education,2011,"The Protocols, Volume 1", (2nd ed.),"TCP/IP Illustrated, Volume 1 is a detailed and visual guide to today’s TCP/IP protocol suite. Fully updated for the newest innovations, it demonstrates each protocol in action through realistic examples from modern Linux, Windows, and Mac OS environments. There’s no better way to discover why TCP/IP works as it does, how it reacts to common...",True,2011-10-25T00:00:00,Oct 2011,2,97,150,networking
