Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Linux Pocket Guide,211248417,32.99,Daniel J. Barrett,O'Reilly Media,2024,, (4th ed.),"If you use Linux in your day-to-day work, then Linux Pocket Guide is the perfect on-the-job reference. This thoroughly updated 20th anniversary edition explains more than 200 Linux commands, including new commands for file handling, package management, version control, file format conversions, and more. In this concise guide, author Daniel...",True,2024-03-01T00:00:00,Mar 2024,1,97,150,os
The AWK Programming Language,210928290,43.54494795,Alfred V. Aho,Pearson Education,2023,, (2nd ed.),"Awk was developed in 1977 at Bell Labs, and it's still a remarkably useful tool for solving a wide variety of problems quickly and efficiently. In this update of the classic Awk book, the creators of the language show you what Awk can do and teach you how to use it effectively. Here's what programmers today are saying: ""I love Awk.""...",True,2023-09-20T00:00:00,Sep 2023,3,97,150,os
Learning the vi and Vim Editors,210416626,71.99,Arnold Robbins,O'Reilly Media,2021,, (8th ed.),"Among the text editors being used in the programming community, perhaps the most important family is vi and its derivatives. With this updated edition, Unix and Linux users will learn text editing basics for both vi and Vim (""vi improved"") before moving on to advanced editing tools for each editor. Authors Arnold Robbins and Elbert Hannah cover...",True,2021-11-17T00:00:00,Nov 2021,2,97,150,os
Python Distilled,210283931,54.43458795,David M Beazley,Pearson Education,2021,,,"Expert insight for modern Python (3.6+) coding from the author of Python Essential Reference&nbsp; Python educator Dave Beazley's concise handbook focuses on the essential core of the Python programming language, with code examples to illuminate how Python works and how to structure programs that can be more easily explained, tested,...",True,2021-08-24T00:00:00,Aug 2021,1,97,150,os
Linux Cookbook,210356055,71.99,Carla Schroder,O'Reilly Media,2021,, (2nd ed.),"This handy cookbook teaches new-to-intermediate Linux users the essential skills necessary to manage a Linux system, using both graphical and command-line tools. Whether you run Linux in embedded, desktop, server, or cloud or virtual environments, the fundamental skills are the same. This book aims to get you up and running quickly, with...",True,2021-08-13T00:00:00,Aug 2021,1,97,150,os
LPI Linux Essentials Study Guide,209916850,59.99,Christine Bresnahan,Wiley,2019,Exam 010 v1.6, (3rd ed.),"Provides a solid foundation for those considering a career in IT—covers the objectives of the new Linux Essentials Exam 010-160 v1.6 Linux is a secure, reliable, open source alternative to costly...",True,2019-12-31T00:00:00,Dec 2019,2,97,150,os
"How Linux Works, 3rd Edition",209775887,52.99,Brian Ward,No Starch Press,2021,What Every Superuser Should Know,,"Best-selling guide to the inner workings of the Linux operating system with over 50,000 copies sold since its original release in 2014.&nbsp;Unlike some operating systems, Linux doesn&rsquo;t try to hide the important bits from you&mdash;it gives you full control of your computer. But to truly master Linux, you need to understand its...",True,2021-04-13T00:00:00,Apr 2021,1,97,150,os
sed & awk,610665,56.99,Dale Dougherty,O'Reilly Media,1997,UNIX Power Tools, (2nd ed.),"sed & awk describes two text processing programs that are mainstays of the UNIX programmer's toolbox. sed is a ""stream editor"" for editing streams of text that might be too large to edit as a single file, or that might be generated on the fly as part of a larger data processing step. The most common operation done with sed is substitution,...",True,2010-10-19T00:00:00,Mar 1997,2,97,150,os
Understanding Linux Network Internals,540758,47.99,Christian Benvenuti,O'Reilly Media,2005,Guided Tour to Networking on Linux,,"If you've ever wondered how Linux carries out the complicated tasks assigned to it by the IP protocols -- or if you just want to learn about modern networking through real-life examples -- Understanding Linux Network Internals is for you. Like the popular O'Reilly book, Understanding the Linux Kernel , this book clearly explains the underlying...",True,2008-05-28T00:00:00,Dec 2005,1,97,150,os
Linux Device Drivers,443086,58.99,Jonathan Corbet,O'Reilly Media,2005,Where the Kernel Meets the Hardware, (3rd ed.),"Device drivers literally drive everything you're interested in--disks, monitors, keyboards, modems--everything outside the computer chip and memory. And writing device drivers is one of the few areas of programming for the Linux operating system that calls for unique, Linux-specific knowledge. For years now, programmers have relied on the...",True,2007-10-16T00:00:00,Feb 2005,3,97,150,os
Learning the Korn Shell,1191171,35.99,Arnold Robbins,O'Reilly Media,2002,Unix Programming, (2nd ed.),"The Korn shell is an interactive command and scripting language for accessing Unix® and other computer systems. As a complete and high-level programming language in itself, it's been a favorite since it was developed in the mid 1980s by David G. Korn at AT&T Bell Laboratories. Knowing how to use it is an essential skill for serious Unix users....",True,2013-05-14T00:00:00,Apr 2002,2,97,150,os
Linux Bible,210036368,76.0,Christopher Negus,Wiley,2020,, (10th ed.),"The industry favorite Linux guide Linux Bible, 10th Edition is the ultimate hands-on Linux user guide, whether you're a true beginner or a more advanced user navigating recent changes. this updated...",True,2020-06-01T00:00:00,Jun 2020,1,97,150,os
AppleScript: The Definitive Guide,540717,31.99,Matt Neuburg,O'Reilly Media,2006,Scripting and Automating Your Mac, (2nd ed.),"Mac users everywhere--even those who know nothing about programming--are discovering the value of the latest version of AppleScript, Apple's vastly improved scripting language for Mac OS X Tiger. And with this new edition of the top-selling AppleScript: The Definitive Guide , anyone, regardless of your level of experience, can learn to use...",True,2008-03-26T00:00:00,Jan 2006,1,97,150,os
Mastering Microsoft Endpoint Manager,210438528,52.99,Christiaan Brinkhoff,Packt Publishing,2021,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs",,,True,2021-10-07T00:00:00,Oct 2021,4,97,150,os
Mastering Active Directory,210426794,55.99,Dishan Francis,Packt Publishing,2021,"Design, deploy, and protect Active Directory Domain Services for Windows Server 2022",,,True,2021-11-30T00:00:00,Nov 2021,1,97,150,os
Geolocation in iOS,1041907,17.99,Alasdair Allan,O'Reilly Media,2012,Mobile Positioning and Mapping on iPhone and iPad,,"Take advantage of iPhone and iPad sensors and advanced geolocation technologies to build state-of-the-art location applications. In this concise hands-on guide, author Alasdair Allan ( Learning iOS Programming ) takes you deep inside Apple’s Core Location framework, Map Kit, and other iOS tools, using illustrative examples and sample Objective-C...",True,2012-10-08T00:00:00,Oct 2012,1,97,150,os
Mastering Windows Server 2022,210850234,50.99,Jordan Krause,Packt Publishing,2023,Comprehensive administration of your Windows Server environment,,,True,2023-05-26T00:00:00,May 2023,1,97,150,os
Universal Windows Apps with XAML and C# Unleashed,1938264,54.43458795,Adam Nathan,Pearson Education,2015,,,"Full Color: Figures and code appear as they do in Visual Studio. Universal Windows apps are a total game-changer. You can now write once and deploy your app to any modern PC, tablet, phone, or other Windows device. Suddenly, it’s quick and easy to serve new devices and form factors, sharing unified assets ranging from code to styles...",True,2015-01-21T00:00:00,Jan 2015,1,97,150,os
Managing RAID on Linux,443501,31.99,Derek Vadala,O'Reilly Media,2002,"Fast, Scalable, Reliable Data Storage",,"Redundant Array of Independent Disks (RAID) technology is becoming a standard feature of computer systems that support mission-critical services like file sharing, mail exchange, or Web servers. RAID offers two benefits to these essential systems: improved I/O performance and fail-safe data storage.Although bandwidth problems on networks are...",True,2008-02-21T00:00:00,Dec 2002,1,97,150,os
AppleScript in a Nutshell,1415914,28.99,Bruce W. Perry,O'Reilly Media,2001,A Desktop Quick Reference,,"AppleScript in a Nutshell is the first complete reference to AppleScript, the popular programming language that gives both power users and sophisticated enterprise customers the important ability to automate repetitive tasks and customize applications. As the Macintosh continues to expand and solidify its base in the multimedia and publishing...",True,2013-09-24T00:00:00,Jun 2001,1,97,150,os
Linux Kernel Programming,210233443,49.99,Kaiwan N Billimoria,Packt Publishing,2021,"A comprehensive guide to kernel internals, writing kernel modules, and kernel synchronization",,,True,2021-03-19T00:00:00,Mar 2021,1,97,150,os
"Switching to the Mac: The Missing Manual, Snow Leopard Edition",536886,26.99,David Pogue,O'Reilly Media,2009,The Missing Manual,,"Is Windows giving you pause? Ready to make the leap to the Mac instead? There has never been a better time to switch from Windows to Mac, and this incomparable guide will help you make a smooth transition. New York Times columnist and Missing Manuals creator David Pogue gets you past three challenges: transferring your stuff, assembling Mac...",True,2009-12-09T00:00:00,Dec 2009,1,97,150,os
Mac OS X Snow Leopard: The Missing Manual,536748,31.99,David Pogue,O'Reilly Media,2009,The Missing Manual,,"For a company that promised to ""put a pause on new features,"" Apple sure has been busy-there's barely a feature left untouched in Mac OS X 10.6 ""Snow Leopard."" There's more speed, more polish, more refinement-but still no manual. Fortunately, David Pogue is back, with the humor and expertise that have made this the #1 bestselling Mac book for...",True,2009-10-08T00:00:00,Oct 2009,1,97,150,os
Basic Sensors in iOS,769363,14.99,Alasdair Allan,O'Reilly Media,2011,"Programming the Accelerometer, Gyroscope, and More",,"What really sets the iPhone apart from laptops and PCs is its use of onboard sensors, including those that are location-enabled. This concise book takes experienced iPhone and Mac developers on a detailed tour of iPhone and iPad hardware by explaining how these sensors work, and what they're capable of doing. With this book, you'll build sample...",True,2011-07-22T00:00:00,Jul 2011,1,97,150,os
Windows Server 2008 PKI and Certificate Security,1663801,65.32422795,Brian Komar,Pearson Education,2008,,,Get in-depth guidance for designing and implementing certificate-based security solutions—straight from PKI expert Brian Komar. No need to buy or outsource costly PKI services when you can use the robust PKI and certificate-based security services already built into Windows Server 2008! This in-depth reference teaches you how to design...,True,2008-04-09T00:00:00,Apr 2008,1,97,150,os
PowerShell 7 Workshop,211231397,45.99,Nick Parlow,Packt Publishing,2024,"Learn how to program with PowerShell 7 on Windows, Linux, and the Raspberry Pi",,,True,2024-02-29T00:00:00,Feb 2024,1,97,150,os
Fedora Linux System Administration,211162847,65.99,Alex Callejas,Packt Publishing,2023,"Install, manage, and secure your Fedora Linux environments",,,True,2023-11-24T00:00:00,Nov 2023,1,97,150,os
Efficient Linux at the Command Line,210497580,59.99,Daniel J. Barrett,O'Reilly Media,2022,,,"Take your Linux skills to the next level! Whether you're a system administrator, software developer, site reliability engineer, or enthusiastic hobbyist, this practical, hands-on book will help you work faster, smarter, and more efficiently. You'll learn how to create and run complex commands that solve real business problems, process and...",True,2022-02-16T00:00:00,Feb 2022,1,97,150,os
Learning Modern Linux,210544865,71.99,Michael Hausenblas,O'Reilly Media,2022,,,"If you use Linux in development or operations and need a structured approach to help you dive deeper, this book is for you. Author Michael Hausenblas also provides tips and tricks for improving your workflow with this open source operating system. Whether you're a developer, software architect, or site reliability engineer, this hands-on guide...",True,2022-04-15T00:00:00,Apr 2022,1,97,150,os
Exam Ref AZ-104 Microsoft Azure Administrator,210088026,48.98976795,Harshul Patel,Pearson Education,2021,,,"Prepare for Microsoft Exam AZ-104–and help demonstrate your real-world mastery of implementing and deploying Microsoft Azure Infrastructure as a Service (IaaS). Designed for experienced cloud professionals ready to advance their status, Exam Ref focuses on the critical thinking and decision-making acumen needed for success at the...",True,2021-07-21T00:00:00,Jul 2021,1,97,150,os
"Mastering Windows Server 2019, Third Edition",210341947,91.99,Jordan Krause,Packt Publishing,2021,"The complete guide for system administrators to install, manage, and deploy new capabilities with Windows Server 2019",,,True,2021-07-29T00:00:00,Jul 2021,1,97,150,os
Exam Ref AZ-800 Administering Windows Server Hybrid Core Infrastructure,210552419,48.98976795,Orin Thomas,Pearson Education,2022,,,"Prepare for Microsoft Exam AZ-800 and demonstrate your real-world mastery of designing, implementing, and managing Windows Server core infrastructure in a hybrid cloud environment. Designed for professionals with Windows Server experience in on-premises, hybrid, and Azure environments, this Exam Ref focuses on the critical thinking and...",True,2022-07-21T00:00:00,Jul 2022,1,97,150,os
Exam Ref AZ-801 Configuring Windows Server Hybrid Advanced Services,210647356,48.98976795,Orin Thomas,Pearson Education,2022,,,"Prepare for Microsoft Exam AZ-801 and demonstrate your real-world mastery of configuring and managing Windows Server on-premises, hybrid, and Infrastructure as a Service (IaaS) platform workloads. Designed for professionals with Windows Server and Azure experience, this Exam Ref focuses on the critical thinking and decision-making...",True,2022-11-16T00:00:00,Nov 2022,1,97,150,os
bash Idioms,210524452,59.99,Carl Albing,O'Reilly Media,2022,,,"Shell scripts are everywhere, especially those written in bash-compatible syntax. But these scripts can be complex and obscure. Complexity is the enemy of security, but it's also the enemy of readability and understanding. With this practical book, you'll learn how to decipher old bash code and write new code that's as clear and readable as...",True,2022-03-16T00:00:00,Mar 2022,2,97,150,os
LPIC-1 Linux Professional Institute Certification Study Guide,209804311,72.0,Christine Bresnahan,Wiley,2019,Exam 101-500 and Exam 102-500, (5th ed.),"The bestselling study guide for the popular Linux Professional Institute Certification Level 1 (LPIC-1). The updated fifth edition of LPIC-1: Linux Professional Institute Certification Study Guide is a comprehensive, one-volume resource that...",True,2019-10-03T00:00:00,Oct 2019,2,97,150,os
Windows Server 2019 Inside Out,210004695,74.85266295,Orin Thomas,Pearson Education,2020,,,"Conquer Windows Server 2019—from the inside out! &nbsp; Dive into Windows Server 2019—and really put your Windows Serverexpertise to work. Focusing on Windows Server 2019’s most powerful and innovative features, this supremely organized reference packs hundreds of timesaving solutions, tips, and workarounds—all you need to plan,...",True,2020-05-07T00:00:00,May 2020,1,97,150,os
bash Cookbook,95881077,67.99,Carl Albing,O'Reilly Media,2017,Solutions and Examples for bash Users, (2nd ed.),"For system administrators, programmers, and end users, shell command or carefully crafted shell script can save you time and effort, or facilitate consistency and repeatability for a variety of common tasks. This cookbook provides more than 300 practical recipes for using bash , the popular Unix shell that enables you to harness and customize...",True,2017-10-04T00:00:00,Oct 2017,2,97,150,os
Learning the bash Shell,443423,51.99,Cameron Newham,O'Reilly Media,2005,Unix Shell Programming, (3rd ed.),"O'Reilly's bestselling book on Linux's bash shell is at it again. Now that Linux is an established player both as a server and on the desktop Learning the bash Shell has been updated and refreshed to account for all the latest changes. Indeed, this third edition serves as the most valuable guide yet to the bash shell.As any good programmer...",True,2008-01-08T00:00:00,Mar 2005,1,97,150,os
Classic Shell Scripting,443127,31.99,Arnold Robbins,O'Reilly Media,2005,Hidden Commands that Unlock the Power of Unix,,"Shell scripting skills never go out of style. It's the shell that unlocks the real potential of Unix. Shell scripting is essential for Unix users and system administrators-a way to quickly harness and customize the full power of any Unix system. With shell scripts, you can combine the fundamental Unix text and file processing commands to crunch...",True,2007-10-16T00:00:00,May 2005,2,97,150,os
Systems Performance,210122266,65.32422795,Brendan Gregg,Pearson Education,2020,, (2nd ed.),"Systems Performance, Second Edition, covers concepts, strategy, tools, and tuning for operating systems and applications, using Linux-based operating systems as the primary example. A deep understanding of these tools and techniques is critical for developers today. Implementing the strategies described in this thoroughly revised and...",True,2020-12-09T00:00:00,Dec 2020,1,97,150,os
flex & bison,536760,26.99,John Levine,O'Reilly Media,2009,Text Processing Tools,,"If you need to parse or process text data in Linux or Unix, this useful book explains how to use flex and bison to solve your problems quickly. flex & bison is the long-awaited sequel to the classic O'Reilly book, lex & yacc . In the nearly two decades since the original book was published, the flex and bison utilities have proven to be more...",True,2009-08-05T00:00:00,Aug 2009,1,97,150,os
Linux Basics for Hackers,95922373,36.99,OccupyTheWeb,No Starch Press,2018,"Getting Started with Networking, Scripting, and Security in Kali",,"This practical, tutorial-style book uses the Kali Linux distribution to teach Linux basics with a focus on how hackers would use them. Topics include Linux command line basics, filesystems, networking, BASH basics, package management, logging, and the Linux kernel and drivers.If you're getting started along the exciting path of...",True,2018-12-04T00:00:00,Dec 2018,1,97,150,os
Linux System Programming,1191121,79.99,Robert Love,O'Reilly Media,2013,Talking Directly to the Kernel and C Library, (2nd ed.),"Write software that draws directly on services offered by the Linux kernel and core system libraries. With this comprehensive book, Linux kernel contributor Robert Love provides you with a tutorial on Linux system programming, a reference manual on Linux system calls, and an insider’s guide to writing smarter, faster code. Love clearly...",True,2013-05-14T00:00:00,May 2013,1,97,150,os
UNIX and Linux System Administration Handbook,95837546,76.21386795,Evi Nemeth,Pearson Education,2017,, (5th ed.),"“As an author, editor, and publisher, I never paid much attention to the competition—except in a few cases. This is one of those cases. The UNIX System Administration Handbook is one of the few books we ever measured ourselves against.” —Tim O’Reilly, founder of O’Reilly Media &nbsp; “This edition is for those whose systems live in...",True,2017-09-14T00:00:00,Sep 2017,5,97,150,os
Unix Power Tools,540863,55.99,Jerry Peek,O'Reilly Media,2002,, (3rd ed.),"With the growing popularity of Linux and the advent of Darwin, Unix has metamorphosed into something new and exciting. No longer perceived as a difficult operating system, more and more users are discovering the advantages of Unix for the first time. But whether you are a newcomer or a Unix power user, you'll find yourself thumbing through the...",True,2007-11-21T00:00:00,Oct 2002,4,97,150,os
"The Linux Command Line, 2nd Edition",138623063,43.95,William Shotts,No Starch Press,2019,A Complete Introduction,,"You've experienced the shiny, point-and-click surface of your Linux computer--now dive below and explore its depths with the power of the command line.The Linux Command Line takes you from your very first terminal keystrokes to writing full programs in Bash, the most popular Linux shell (or command line). Along the way you'll learn the...",True,2019-03-05T00:00:00,Mar 2019,1,97,150,os
Understanding the Linux Kernel,443134,79.99,Daniel P. Bovet,O'Reilly Media,2005,From I/O Ports to Process Management, (3rd ed.),"In order to thoroughly understand what makes Linux tick and why it works so well on a wide variety of systems, you need to delve deep into the heart of the kernel. The kernel handles all interactions between the CPU and the external world, and determines which programs will share processor time, in what order. It manages limited memory so well...",True,2007-10-16T00:00:00,Nov 2005,2,97,150,os
BPF Performance Tools,209895928,76.21386795,Brendan Gregg,Pearson Education,2019,,,"BPF and related observability tools give software professionals unprecedented visibility into software, helping them analyse operating system and application performance, troubleshoot code, and strengthen security. BPF Performance Tools: Linux System and Application Observability is the industry’s most comprehensive guide to using these tools...",True,2019-11-26T00:00:00,Nov 2019,1,97,150,os
sed and awk Pocket Reference,443458,8.99,Arnold Robbins,O'Reilly Media,2002,Text Processing with Regular Expressions, (2nd ed.),"For people who create and modify text files, sed and awk are power tools for editing. sed, awk, and regular expressions allow programmers and system administrators to automate editing tasks that need to be performed on one or more files, to simplify the task of performing the same edits on multiple files, and to write conversion programs.The sed...",True,2002-06-12T00:00:00,Jun 2002,1,97,150,os
Mastering Windows Server 2019,209642202,55.99,Jordan Krause,Packt Publishing,2019,The complete guide for IT professionals to install and manage Windows Server 2019 and deploy new capabilities,,,True,2019-03-18T00:00:00,Mar 2019,1,97,150,os
Learning the Unix Operating System,1664451,29.99,Jerry Peek,O'Reilly Media,2001,A Concise Guide for the New User, (5th ed.),"If you are new to Unix, this concise book will tell you just what you need to get started and no more. Unix was one of the first operating systems written in C, a high-level programming language, and its natural portability and low price made it a popular choice among universities. Initially, two main dialects of Unix existed: one produced by...",True,2014-04-02T00:00:00,Oct 2001,3,97,150,os
"Mastering Embedded Linux Programming,",210269023,52.99,Frank Vasquez,Packt Publishing,2021,Create fast and reliable embedded solutions with Linux 5.4 and the Yocto Project 3.1 (Dunfell),,,True,2021-05-14T00:00:00,May 2021,2,97,150,os
Windows Server 2016 Administration Fundamentals,95926518,44.99,Bekim Dauti,Packt Publishing,2017,"Deploy, set up, and deliver network services with Windows Server while preparing for the MTA 98-365 exam and pass it with ease",,,True,2017-12-07T00:00:00,Dec 2017,1,97,150,os
Linux Command Line and Shell Scripting Bible,210180767,62.0,Richard Blum,Wiley,2020,, (4th ed.),"Advance your understanding of the Linux command line with this invaluable resource Linux Command Line and Shell Scripting Bible, 4th Edition is the newest installment in the indispensable series known to Linux developers all over the...",True,2020-12-08T00:00:00,Dec 2020,2,97,150,os
iOS 16 Programming for Beginners,210707300,45.99,Ahmad Sahar,Packt Publishing,2022,Kickstart your iOS app development journey with a hands-on guide to Swift 5.7 and Xcode 14,,,True,2022-11-18T00:00:00,Nov 2022,2,97,150,os
Advanced Programming in the UNIX Environment,1436338,76.21386795,W. Richard Stevens,Pearson Education,2013,, (3rd ed.),"This&nbsp;edition of&nbsp; Advanced Programming in the UNIX Environment supports today’s leading platforms, reflects new technical advances and best practices, and aligns with Version 4 of the Single UNIX Specification.&nbsp;This valuable tool&nbsp;begins with files, directories, and processes, carefully laying the groundwork for more advanced...",True,2013-05-10T00:00:00,May 2013,2,97,150,os
Linux in a Nutshell,536725,73.99,Ellen Siever,O'Reilly Media,2009,A Desktop Quick Reference, (6th ed.),"Everything you need to know about Linux is in this book. Written by Stephen Figgins, Ellen Siever, Robert Love, and Arnold Robbins -- people with years of active participation in the Linux community -- Linux in a Nutshell , Sixth Edition, thoroughly covers programming tools, system and network administration tools, the shell, editors, and LILO...",True,2009-09-19T00:00:00,Sep 2009,4,97,150,os
Windows Server 2019 Administration Fundamentals,209815468,44.99,Bekim Dauti,Packt Publishing,2019,A beginner's guide to managing and administering Windows Server environments,,,True,2019-10-11T00:00:00,Oct 2019,1,97,150,os
"Mastering Ubuntu Server,",210192158,84.99,Jay LaCroix,Packt Publishing,2020,"Gain expertise in the art of deploying, configuring, managing, and troubleshooting Ubuntu Server",,,True,2020-12-29T00:00:00,Dec 2020,1,97,150,os
Mastering Linux Security and Hardening,210775998,45.99,Donald A. Tevault,Packt Publishing,2023,A practical guide to protecting your Linux system from cyber attacks,,,True,2023-02-28T00:00:00,Feb 2023,1,97,150,os
Macintosh Terminal Pocket Guide,946586,27.99,Daniel J. Barrett,O'Reilly Media,2012,Take Command of Your Mac,,"Unlock the secrets of the Terminal and discover how this powerful tool solves problems the Finder can't handle. With this handy guide, you'll learn commands for a variety of tasks, such as killing programs that refuse to quit, renaming a large batch of files in seconds, or running jobs in the background while you do other work. Get started with...",True,2012-06-18T00:00:00,Jun 2012,1,97,150,os
Windows Internals,95824379,65.32422795,Pavel Yosifovich,Pearson Education,2017,"System architecture, processes, threads, memory management, and more, Part 1", (7th ed.),"Delve inside Windows architecture and internals, and see how core components work behind the scenes. Led by a team of internals experts, this classic guide has been fully updated for Windows 10 and Windows Server 2016. Whether you are a developer or an IT professional, you’ll get critical, insider perspectives on how Windows operates. And...",True,2017-05-05T00:00:00,May 2017,4,97,150,os
