Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Rust Atomics and Locks,210725183,59.99,Mara Bos,O'Reilly Media,2022,,,"The Rust programming language is extremely well suited for concurrency, and its ecosystem has many libraries that include lots of concurrent data structures, locks, and more. But implementing those structures correctly can be very difficult. Even in the most well-used libraries, memory ordering bugs are not uncommon. In this practical book, Mara...",True,2022-12-14T00:00:00,Dec 2022,1,97,150,programming
Version Control with Git,210691823,71.99,Prem Kumar Ponuthorai,O'Reilly Media,2022,, (3rd ed.),"Track, branch, merge, and manage code revisions with Git, the free and open source distributed version control system. Through a series of step-by-step tutorials, this practical guide quickly takes you from Git fundamentals to advanced techniques, and provides friendly yet rigorous advice for navigating Git's many functions. You'll learn how to...",True,2022-10-21T00:00:00,Oct 2022,2,97,150,programming
Enterprise Patterns and MDA,726253,59.87940795,Jim Simon Plumtree,Pearson Education,2003,Building Better Software with Archetype Patterns and UML,,"Enterprise Patterns and MDA teaches you how to customize any archetype pattern–such as Customer, Product, and Order–to reflect the idiosyncrasies of your own business environment. Because all the patterns work harmoniously together and have clearly documented relationships to each other, you’ll come away with a host of reusable...",True,2003-12-22T00:00:00,Dec 2003,4,97,150,programming
C# 12 and .NET 8 – Modern Cross-Platform Development Fundamentals,211162852,50.99,Mark J. Price,Packt Publishing,2023,"Start building websites and services with ASP.NET Core 8, Blazor, and EF Core 8",,,True,2023-11-14T00:00:00,Nov 2023,1,97,150,programming
iOS 15 Programming Fundamentals with Swift,210385252,71.99,Matt Neuburg,O'Reilly Media,2021,,,"Move into iOS development by getting a firm grasp of its fundamentals, including the Xcode 13 IDE, Cocoa Touch, and the latest version of Apple's acclaimed programming language, Swift 5.5. With this thoroughly updated guide, you'll learn the Swift language, understand Apple's Xcode development tools, and discover the Cocoa framework. Explore...",True,2021-10-01T00:00:00,Oct 2021,1,97,150,programming
Learning Git,210860043,49.99,Anna Skoulikari,O'Reilly Media,2023,,,"This book teaches Git in a simple, visual, and tangible manner so that you can build a solid mental model of how Git version control works. Through the use of color, storytelling, and hands-on exercises, you will learn to use this tool with confidence. The information is introduced incrementally so that you don't get bogged down with unknown...",True,2023-06-05T00:00:00,May 2023,1,97,150,programming
Understanding Computation,1191172,35.99,Tom Stuart,O'Reilly Media,2013,From Simple Machines to Impossible Programs,,"Finally, you can learn computation theory and programming language design in an engaging, practical way. Understanding Computation explains theoretical computer science in a context you’ll recognize, helping you appreciate why these ideas matter and how they can inform your day-to-day programming. Rather than use mathematical notation or an...",True,2013-05-15T00:00:00,May 2013,1,97,150,programming
Beginning C++ Game Programming,209836918,45.99,John Horton,Packt Publishing,2019,Learn to program with C++ by building fun games,,,True,2019-10-31T00:00:00,Oct 2019,1,97,150,programming
Learn LLVM 17,211183979,50.99,Kai Nacke,Packt Publishing,2024,A beginner's guide to learning LLVM compiler tools and core libraries with C++,,,True,2024-01-12T00:00:00,Jan 2024,2,97,150,programming
C# 10 and .NET 6 – Modern Cross-Platform Development,210408704,80.99,Mark J. Price,Packt Publishing,2021,"Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF Core 6 using Visual Studio 2022 and Visual Studio Code",,,True,2021-11-09T00:00:00,Nov 2021,1,97,150,programming
Head First Android Development,210416627,96.99,Dawn Griffiths,O'Reilly Media,2021,, (3rd ed.),"What will you learn from this book? If you have an idea for a killer Android app, this fully revised and updated edition will get you up and running in a jiffy. You'll go beyond syntax and how-to manuals and learn how to think like a great Android developer. This hands-on book teaches you everything from designing user interfaces to building...",True,2021-11-10T00:00:00,Nov 2021,2,97,150,programming
Practical Vim,95960890,32.99,Drew Neil,Pragmatic Bookshelf,2015,Edit Text at the Speed of Thought, (2nd ed.),"Vim is a fast and efficient text editor that will make you a faster and more efficient developer. It's available on almost every OS, and if you master the techniques in this book, you'll never need another text editor. In more than 120 Vim tips, you'll quickly learn the editor's core functionality and tackle your trickiest editing and writing...",True,2018-02-07T00:00:00,Oct 2015,1,97,150,programming
Programming Android with Kotlin,210429801,71.99,Pierre-Olivier Laurence,O'Reilly Media,2021,,,"Developing applications for the Android mobile operating system can seem daunting, particularly if it requires learning a new programming language: Kotlin, now AndroidÃ¢??s officialdevelopment language. With this practical book, Android developers will learn how to make the transition from Java to Kotlin, including how Kotlin provides a true...",True,2021-12-06T00:00:00,Dec 2021,4,97,150,programming
Code,210561524,43.54494795,Charles Petzold,Pearson Education,2022,The Hidden Language of Computer Hardware and Software, (2nd ed.),"The classic guide to how computers work, updated with new chapters and interactive graphics ""For me, Code was a revelation. It was the first book about programming that spoke to me. It started with a story, and it built up, layer by layer, analogy by analogy, until I understood not just the Code, but the System. Code is a book that is...",True,2022-08-02T00:00:00,Aug 2022,1,97,150,programming
"Introduction to Algorithms, fourth edition",210286202,194.99,Thomas H. Cormen,MIT Press,2022,,,"A comprehensive update of the leading algorithms text, with new material on matchings in bipartite graphs, online algorithms, machine learning, and other topics.Some books on algorithms are rigorous but incomplete; others cover masses of material but lack rigor. Introduction to Algorithms uniquely combines rigor and comprehensiveness....",True,2022-04-05T00:00:00,Apr 2022,4,97,150,programming
Head First Swift,210435879,84.99,Paris Buttfield-Addison,O'Reilly Media,2021,,,"What will you learn from this book? Swift is best known as Apple's programming language of choice for developing apps on iOS, iPadOS, macOS, watchOS, and tvOS. But it's far more versatile than that. Open source Swift is also gaining ground as a language for systems programming and server-side code, and it runs on Linux and Windows. So where do...",True,2021-11-18T00:00:00,Nov 2021,2,97,150,programming
Beginning App Development with Flutter,209903987,64.58761008,Rap Payne,Apress,2019,Create Cross-Platform Mobile Apps,,"Create iOS and Android apps with Flutter using just one codebase.&nbsp; App development on multiple platforms has historically been difficult and complex.&nbsp;This book breaks down complex concepts and tasks into easily digestible segments with examples, pictures, and hands-on labs with starters and solutions.&nbsp;In doing so, you'll...",True,2019-12-04T00:00:00,Dec 2019,1,97,150,programming
"Unity Game Development in 24 Hours, Sams Teach Yourself",210373891,54.43458795,Mike Geig,Pearson Education,2021,, (4th ed.),"In just 24 hours, readers will learn how to get started developing games with Unity. The approach is hands-on and modular. Each chapter covers an essential component of the game development process. Topics are illustrated with sample projects. The book also concludes with a complete game project. This book's straightforward, step-by-step...",True,2021-10-08T00:00:00,Oct 2021,1,97,150,programming
"Art of Computer Programming, The",1663564,85.74230295,Donald E. Knuth,Pearson Education,1997,"Fundamental Algorithms, Volume 1", (3rd ed.),"&amp;&gt;The bible of all fundamental algorithms and the work that taught many of today's software developers most of what they know about computer programming. —Byte, September 1995 &nbsp; I can't begin to tell you how many pleasurable hours of study and recreation they have afforded me! I have pored over them in cars, restaurants,...",True,1997-07-04T00:00:00,Jul 1997,1,97,150,programming
C# 11 and .NET 7 – Modern Cross-Platform Development Fundamentals,210699109,50.99,Mark J. Price,Packt Publishing,2022,"Start building websites and services with ASP.NET Core 7, Blazor, and EF Core 7",,,True,2022-11-08T00:00:00,Nov 2022,1,97,150,programming
The Definitive ANTLR 4 Reference,95960841,42.99,Terence Parr,Pragmatic Bookshelf,2013,, (2nd ed.),"Programmers run into parsing problems all the time. Whether it's a data format like JSON, a network protocol like SMTP, a server configuration file for Apache, a PostScript/PDF file, or a simple spreadsheet macro language--ANTLR v4 and this book will demystify the process. ANTLR v4 has been rewritten from scratch to make it easier than ever to...",True,2018-02-05T00:00:00,Jan 2013,1,97,150,programming
Game Design Workshop,96319317,90.85283872,Tracy Fullerton,CRC Press,2018,"A Playcentric Approach to Creating Innovative Games, Fourth Edition", (4th ed.),"Discover an exercise-driven, non-technical approach to game design, without the need for programming or artistic expertise with Game Design Workshop, Fourth Edition.",True,2018-08-06T00:00:00,Aug 2018,1,97,150,programming
"Art of Computer Programming, The",1690863,85.74230295,Donald E. Knuth,Pearson Education,2014,"Seminumerical Algorithms, Volume 2", (3rd ed.),"The bible of all fundamental algorithms and the work that taught many of today's software developers most of what they know about computer programming. &nbsp; –Byte, September 1995 &nbsp; I can't begin to tell you how many pleasurable hours of study and recreation they have afforded me! I have pored over them in cars, restaurants, at...",True,2014-05-06T00:00:00,May 2014,1,97,150,programming
"Art of Computer Programming, The",1789974,85.74230295,Donald E. Knuth,Pearson Education,2014,"Combinatorial Algorithms, Part 1",,"The Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1 &nbsp; Knuth’s multivolume analysis of algorithms is widely recognized as the definitive description of classical computer science. The first three volumes of this work have long comprised a unique and invaluable resource in programming theory and practice....",True,2014-09-12T00:00:00,Sep 2014,1,97,150,programming
"Art of Computer Programming, The",1747442,85.74230295,Donald E. Knuth,Pearson Education,1998,"Sorting and Searching, Volume 3", (2nd ed.),"The bible of all fundamental algorithms and the work that taught many of today's software developers most of what they know about computer programming. &nbsp; –Byte, September 1995 &nbsp; I can't begin to tell you how many pleasurable hours of study and recreation they have afforded me! I have pored over them in cars, restaurants, at...",True,1998-04-24T00:00:00,Apr 1998,1,97,150,programming
Unity Development Cookbook,210970822,71.99,Paris Buttfield-Addison,O'Reilly Media,2023,, (2nd ed.),"Learn everything you need to know to use the powerful Unity engine to its full potential for 3D and 2D game development, simulation, artificial intelligence, and beyond. From the basics of scripting to techniques for interactivity, AI and behavior, animation, narrative, and networking, this flexible, mind-bogglingly popular engine is useful for...",True,2023-08-03T00:00:00,Aug 2023,3,97,150,programming
Software Development Pearls,210340985,38.10012795,Karl Wiegers,Pearson Education,2021,Lessons from Fifty Years of Software Experience,,"Drawing on 20+ years helping software teams succeed in nearly 150 organizations, Karl Wiegers presents 60 concise lessons and practical recommendations students can apply to all kinds of projects, regardless of application domain, technology, development lifecycle, or platform infrastructure. Embodying both wisdom for deeper understanding and...",True,2021-10-05T00:00:00,Oct 2021,1,97,150,programming
"Art of Computer Programming, The",210691770,85.74230295,Donald E. Knuth,Pearson Education,2022,Combinatorial Algorithms,,,True,2022-10-11T00:00:00,Oct 2022,1,97,150,programming
Network Programming with Go,209966780,52.99,Adam Woodbeck,No Starch Press,2021,Code Secure and Reliable Network Services from Scratch,,"Network Programming with Go teaches you how to write clean, secure network software with the programming language designed to make it seem easy.Build simple, reliable, network software&nbsp;Combining the best parts of many other programming languages, Go is fast, scalable, and designed for high-performance networking and...",True,2021-03-30T00:00:00,Mar 2021,1,97,150,programming
The Rust Programming Language,95760826,43.95,Steve Klabnik,No Starch Press,2018,,,"The Rust Programming Language is the official book on Rust, an open-source, community-developed systems programming language that runs blazingly fast, prevents segfaults, and guarantees thread safety. This is the undisputed go-to guide to Rust, written by two members of the Rust core team, with feedback and contributions from 42...",True,2018-07-10T00:00:00,Jul 2018,2,97,150,programming
"Art of Computer Programming, Volume 1, Fascicle 1, The",1463330,32.65530795,Donald E. Knuth,Pearson Education,2005,MMIX -- A RISC Computer for the New Millennium,,"Check out the boxed set that brings together Volumes 1 - 4B in one elegant case.&nbsp;The Art of Computer Programming, Volumes 1-4B Boxed Set ISBN: 9780137935109 &nbsp; &nbsp; Art of Computer Programming, Volume 1, Fascicle 1, The: MMIX -- A RISC Computer for the New Millennium &nbsp; This multivolume work on the analysis of...",True,2005-02-09T00:00:00,Feb 2005,1,97,150,programming
Soar with Haskell,211175357,46.99,Tom Schrijvers,Packt Publishing,2023,The ultimate beginners' guide to mastering functional programming from the ground up,,,True,2023-12-22T00:00:00,Dec 2023,1,97,150,programming
"MMIX Supplement, The",2058044,32.65530795,Martin Ruckert,Pearson Education,2015,"Supplement to The Art of Computer Programming Volumes 1, 2, 3 by Donald E. Knuth",,"In the first edition of Volume 1 of The Art of Computer Programming, Donald E. Knuth introduced the MIX computer and its machine language: a teaching tool that powerfully illuminated the inner workings of the algorithms he documents. Later, with the publication of his Fascicle 1, Knuth introduced MMIX: a modern, 64-bit RISC replacement to the...",True,2015-05-19T00:00:00,May 2015,1,97,150,programming
Learning iOS Programming,1153342,28.99,Alasdair Allan,O'Reilly Media,2013,From Xcode to App Store, (3rd ed.),"Get a rapid introduction to iPhone, iPad, and iPod touch programming. With this easy-to-follow guide, you’ll learn how to develop your first marketable iOS application, from opening Xcode to submitting your product to the App Store. Whether you’re a developer new to Mac programming or an experienced Mac developer ready to tackle iOS, this is...",True,2013-03-11T00:00:00,Mar 2013,1,97,150,programming
"Stanford GraphBase, The",209589028,72.13025295,Donald E. Knuth,Pearson Education,2019,A Platform for Combinatorial Computing,,The Stanford GraphBase: A Platform for Combinatorial Computing represents the first efforts of Donald E. Knuth's preparation for Volume Four of The Art of Computer Programming. The book's first goal is to use examples to demonstrate the art of...,True,2019-01-04T00:00:00,Jan 2019,1,97,150,programming
PowerShell 7 Workshop,211231397,45.99,Nick Parlow,Packt Publishing,2024,"Learn how to program with PowerShell 7 on Windows, Linux, and the Raspberry Pi",,,True,2024-02-29T00:00:00,Feb 2024,1,97,150,programming
Microservices Design Patterns in .NET,210728186,42.99,Trevoir Williams,Packt Publishing,2023,Making sense of microservices design and architecture using .NET Core,,,True,2023-01-13T00:00:00,Jan 2023,1,97,150,programming
Get Your Hands Dirty on Clean Architecture,211070366,45.99,Tom Hombergs,Packt Publishing,2023,Build 'clean' applications with code examples in Java,,,True,2023-07-14T00:00:00,Jul 2023,2,97,150,programming
Mac OS X Snow Leopard for Power Users,666958,50.83774318,Scott Granneman,Apress,2011,Advanced Capabilities and Techniques,,"Mac OS X Snow Leopard for Power Users: Advanced Capabilities and Techniques is for Mac OS X users who want to go beyond the obvious, the standard, and the easy. If want to dig deeper into Mac OS X and maximize your skills and productivity using the...",True,2011-01-11T00:00:00,Jan 2011,1,97,150,programming
